"Application Number","Details","Local Authority","Date"
"23/00285/B","Proposed creation of vehicle access and hardstanding and proposed change of use for first floor in detached outbuilding East Craige\nSt Judes\nIsle Of Man\nIM7 2EW\n","ANDREAS","16 Mar 2023"
"23/00615/B","Erection of windblock structure Ballayelse\nRonague\nCastletown\nIsle Of Man\nIM9 4HH\n","ARBORY","30 May 2023"
"23/00674/B","Erection of a wooden shed/cabin on existing concrete base Ard Biljyn\nQuines Hill\nPort Soderick\nIsle Of Man\nIM4 1AU\n","BRADDAN","31 May 2023"
"21/00471/B","Refurbishment works to both streets involving concrete paving and aggregates, creation of a disabled user parking space and installation of lighting columns and soft landscaping Malew And Arbory Streets\nCastletown\nIsle Of Man\n\n","CASTLETOWN","28 Apr 2021"
"23/00562/B","Erection of semi-detached dwelling with associated alterations to existing dwelling 1 Harcroft Meadow\nDouglas\nIsle Of Man\nIM2 1JS\n","DOUGLAS","30 May 2023"
"23/00572/B","Installation of replacement Upvc windows to front and rear of property 9 Cambridge Terrace\nDouglas\nIsle Of Man\nIM1 3LL","DOUGLAS","26 May 2023"
"23/00602/B","Installation of replacement roof tiles 18 Ballaughton Manor Hill\nDouglas\nIsle Of Man\nIM2 1NZ","DOUGLAS","31 May 2023"
"23/00614/B","Erection of an extension, decking and pergola to the rear elevation 12 Campion Way\nDouglas\nIsle Of Mans\nIM2 7DU","DOUGLAS","25 May 2023"
"23/00627/B","Installation of replacement p.v.c door to composite door to front elevation 12 Wesley Terrace\nDouglas\nIsle Of Man\nIM1 3HF","DOUGLAS","31 May 2023"
"23/00647/B","Erection of a two storey extension, alteration to dwelling including timber cladding, replacement roof tiles and doors/windows and blocking up of an existing vehicular access Springfield Lodge\nNew Castletown Road\nDouglas\nIsle Of Man\nIM2 1JN\n","DOUGLAS","31 May 2023"
"23/00670/B","Installation of Air Source Heat Pump 34 Ashberry Avenue\nDouglas\nIsle Of Man\nIM2 1PX","DOUGLAS","30 May 2023"
"23/00671/B","Enlarge existing openings in rear elevation and install aluminium sliding/bifold doors The Mount\nSaddle Road\nDouglas\nIsle Of Man\nIM2 1HQ","DOUGLAS","31 May 2023"
"23/00672/B","Erection of small infill extension at rear of property (retrospective) Roseneath\nRamsey Road\nLaxey\nIsle Of Man\nIM4 7PD","GARFF","31 May 2023"
"23/00488/B","Conversion of an Existing Barn Structure (Block A) into Two Self-Catering Tourist Cottages (Class 3.6), Erection of Bat Barn, and Erection of Solar Array Berrag Farm\nSandygate\nRamsey\nIsle Of Man\nIM7 3BS\n","JURBY","26 May 2023"
"23/00625/B","Installation of a door Glen Cam Farm\nCorlea Road\nBallasalla\nIsle Of Man\nIM9 3BA","MALEW","26 May 2023"
"23/00639/B","Widening of existing driveway for vehicular access Hillside\nEyreton Road\nCrosby\nIsle Of Man\nIM4 4BR","MAROWN","25 May 2023"
"23/00629/B","Erection of 2 storey extension to rear of property, removal of chimneys, raising height of existing garage roof and installation of new access door 30 The Park\nOnchan\nIsle Of Man\nIM3 1HR","ONCHAN","25 May 2023"
"23/00667/B","Erection of a detached garden room 20 Banks Howe\nOnchan\nIsle Of Man\nIM3 2ET","ONCHAN","31 May 2023"
"23/00666/B","Installation of Air Source Heat Pump 8 Clover Avenue\nReayrt Ny Keylley\nPeel\nIsle Of Man\nIM5 1GB\n","PEEL","31 May 2023"
"23/00573/C","Additional use of Apartments 2, 3 and 19 as tourist accommodation Flats 2, 3 & 19 \nThe Elms\nLezayre Road,\nRamsey\nIM8 2TA","RAMSEY","24 May 2023"
"23/00652/GB","Installation of rear balcony at first floor level and change of use from offices to single dwelling (in association with RB consent application 23/00653/CON)\n\n 9 Auckland Terrace\nParliament Street\nRamsey\nIsle Of Man\nIM8 1AF\n","RAMSEY","31 May 2023"
"23/00653/CON","Internal alterations to facilitate conversion from offices to single dwelling, installation of first floor balcony at rear, replacement windows, and alteration of rear window to create door RB152 (in association with 23/00652/B) 9 Auckland Terrace\nParliament Street\nRamsey\nIsle Of Man\nIM8 1AF\n","RAMSEY","31 May 2023"
