"Application Number","Details","Local Authority","Date"
"23/00285/B","Proposed creation of vehicle access and hardstanding and proposed change of use for first floor in detached outbuilding East Craige\nSt Judes\nIsle Of Man\nIM7 2EW\n","ANDREAS","16 Mar 2023"
"23/00327/B","Erection of two storey side extension Westwood\nDouglas Road\nBallabeg\nCastletown\nIsle Of Man\nIM9 4EF","ARBORY","22 Mar 2023"
"23/00332/B","Two double storey extensions to front and rear and extension to ground floor utility room Fuchsia House\nOld Castletown Road\nPort Soderick\nIsle Of Man\nIM4 1BB\n","BRADDAN","22 Mar 2023"
"23/00350/B","Creation of new vehicular access and amendment of parking layout Strang Corner Field\nStrang\nDouglas\nIsle Of Man\n\n","BRADDAN","21 Mar 2023"
"23/00311/B","Increase driveway to include drop kerb and reorientation of existing steps and erection of fence 42 Port E Chee Avenue\nDouglas\nIsle Of Man\nIM2 5ER","DOUGLAS","16 Mar 2023"
"23/00314/B","Installation of replacement windows and doors The Bungalow\nSummerhill Grove\nDouglas\nIsle Of Man\nIM2 4PH","DOUGLAS","20 Mar 2023"
"22/01506/B","Proposed 2 storey extension to side of elevation to form new family room with en-suite bathroom over and rear decking. 7 Lower Cronk Orry\nMinorca Hill\nLaxey\nIsle Of Man\nIM4 7EG\n","GARFF","15 Dec 2022"
"23/00309/B","Removal of central chimney stacks and replace with matching slate tiles 6/7 Albert Street\nRamsey\nIsle Of Man\nIM8 1JF","RAMSEY","16 Mar 2023"
