"Application Number","Details","Local Authority","Date"
"23/01370/B","Installation of external flue system for log burning appliance 31 Glebe Aalin\nBallaugh\nIsle Of Man\nIM7 5BX\n","BALLAUGH","21 Dec 2023"
"23/01461/B","Erection of polytunnels (partially retrospective) Red Mie\nBollyn Road\nBallaugh\nIsle Of Man IM7 5AY\n\n","BALLAUGH","21 Dec 2023"
"23/01476/C","Additional use of existing annex into tourist accommodation 15 Mountain View\nBallaugh\nIsle Of Man\nIM7 5EP\n","BALLAUGH","21 Dec 2023"
"23/00601/D","Erection of two digital advertising screens Car Park And Park House\nIsle Of Man Business Park\nDouglas\nIsle Of Man\nIM2 2QZ\n","BRADDAN","17 May 2023"
"23/01455/B","Deployment of temporary trailer mast for 12 months to provide mobile coverage to the area of Bride, whilst a new permanent site is constructed. Transmitter North East Corner Field 114443\nKimmeragh Farm\nBride\nIsle Of Man\nIM7 4AR\n","BRIDE","21 Dec 2023"
"23/01431/B","Replacement of existing garage with two storey extension to rear/side of house. Internal remodelling of the existing house including replacement windows and associated works (minor amendments to PA 21/01552/B) Sabie\nBallanard Road\nDouglas\nIsle Of Man\nIM2 5PT\n","DOUGLAS","28 Dec 2023"
"23/01490/C","Additional use to offer before and after school childcare for infant and junior school aged children (approx. 5-11 years old) from the 1st and 2nd floor rooms of the property that are currently approved and licensed for full day care of 0-5 year old children 26 Hutchinson Square\nDouglas\nIsle Of Man\nIM2 4HP\n","DOUGLAS","28 Dec 2023"
"23/01491/C","Additional use to provide holiday club care for infant and junior school children aged approx 5-11 years old, from the 1st and 2nd floor rooms of 26 Hutchinson Square which are currently approved for child day care for children aged 0-5 26 Hutchinson Square\nDouglas\nIsle Of Man\nIM2 4HP\n","DOUGLAS","28 Dec 2023"
"23/01007/B","Renovation & change of use of existing building from office units to tourist accommodation. Installation of log burning flues. The Paddocks\nRamsey Road\nLaxey\nIsle Of Man\nIM4 7PP","GARFF","11 Sep 2023"
"23/01457/B","Demolition of existing conservatory, new ground floor and first floor extension. Karibu Cottage\nJurby East\nIsle Of Man\nIM7 3HA\n","JURBY","21 Dec 2023"
"23/01507/B","Erection of rear extension (retrospective) Annandale\n69 Slieau Curn Park\nKirk Michael\nIsle Of Man\nIM6 1EW\n","MICHAEL","22 Dec 2023"
"23/01437/C","Additional use for tourism 32 Summerhill Road\nOnchan\nIsle Of Man\nIM3 1NB\n","ONCHAN","22 Dec 2023"
"23/01473/B","Amendment to Planning Approval PA 22/00226/B Omission of previously approved balcony to east elevation & associated French door access Removal of 2 redundant chimneys. Installation of one large double size garage door in lieu of 2 single garage doors as previously approved. The Haven\n113 King Edward Road\nOnchan\nIsle Of Man\nIM3 2AX\n","ONCHAN","21 Dec 2023"
"23/01499/C","Additional use of industrial estate to include parking and storage use Land At Clock Tower Industrial Estate\nFoxdale\nIsle Of Man\n\n","PATRICK","22 Dec 2023"
"23/01500/B","Replacement roof covering (retrospective) to rear annex and replacement windows & doors 22 Church Street\nPeel\nIsle Of Man\nIM5 1HL\n","PEEL","22 Dec 2023"
"23/01444/C","Additional use of part of house as tourist accommodation Craig-Y-Nos\nBradda Road\nPort Erin\nIsle Of Man\nIM9 6QA\n","PORT ERIN","21 Dec 2023"
"23/01496/B","Demolish existing single skin structure and replace existing window with proposed bifold door Grey Ladies\nClifton Road\nPort St Mary\nIsle Of Man\nIM9 5EL\n","PORT ST MARY","22 Dec 2023"
