"Application Number","Details","Local Authority","Date"
"23/00862/B","Replace a fossil fuel boiler with two Air Source Heat Pumps (ASHP\'S) for heating and hot water Howlands\nSmeale\nRamsey\nIsle Of Man\nIM7 3EE\n","ANDREAS","2 Aug 2023"
"23/00867/B","Additional Use of existing cottage as Holiday/Rental Accommodation The Cottage\nBallafletcher Poultry Farm \nBallafletcher Road\nCronkbourne\nDouglas\nIsle Of Man\nIM4 4QL\n","BRADDAN","2 Aug 2023"
"23/00873/B","Paint front elevation with white / blue and additional use of residential property as tourist accommodation 9 Queen Street\nCastletown\nIsle Of Man\nIM9 1PB","CASTLETOWN","2 Aug 2023"
"23/00853/B","Change of use from Beauty Salon (class 1.1) to Food & Drink (class 1.3) and installation of awning over pavement cafe area 37 Nelson Street\nDouglas\nIsle Of Man\nIM1 2AJ","DOUGLAS","2 Aug 2023"
"23/00860/CON","Registered building consent for replacement of lead parapet gutters on south west and north east wings with reinforced liquid membrane system, and replacement of existing concrete roof tiles with new concrete roof tiles (RB 82) Castle Mona Hotel\nCastle Drive\nDouglas\nIsle Of Man\nIM2 4LY\n","DOUGLAS","2 Aug 2023"
"23/00894/B","Replacement of wooden gates with metal roller door (retrospective) 9 Rosemount\nDouglas\nIsle Of Man\nIM1 3EZ","DOUGLAS","27 Jul 2023"
"23/00388/B","Construction of seven detached houses and associated infrastructure Fields 612727 & 612728\nBaldrine Farm\nBaldrine Road\nBaldrine\n\n\n\n","GARFF","5 Apr 2023"
"23/00836/B","Installation of new window and removal of garage door Loughan Cottage\nJurby East\nIsle Of Man\nIM7 3HA\n","JURBY","27 Jul 2023"
"23/00858/B","Erection of detached building to be used as a private gym including amendments to decking and extension approved under PA 22/00928/MCH Fairways \nGlen Vine Road\nGlen Vine\nIsle Of Man\nIM4 4HF","MAROWN","2 Aug 2023"
"23/00758/B","Application of a cork spray exterior render 6 Royal Avenue\nOnchan\nIsle Of Man\nIM3 1HA","ONCHAN","31 Jul 2023"
"23/00844/B","Conversion of existing garage to create additional ancillary living accommodation 1 Heywood Way\nOnchan\nIsle Of Man\nIM3 3AB\n","ONCHAN","28 Jul 2023"
"23/00866/B","Extension to the rear elevation. Elm Cottage\nStation Road\nSt Johns\nIsle Of Man\nIM4 3AN\n","PATRICK","2 Aug 2023"
"23/00900/B","Erection of timber steps from first floor to elevated garden (retrospective) Bridge House\nDalby\nIsle Of Man\nIM5 3BP\n","PATRICK","31 Jul 2023"
"23/00833/CON","Registered Building Consent for replacement roof covering and rooflight to rear in association with PA 23/00834/GB (Retrospective) RB108 5 Charles Street\nPeel\nIsle Of Man\nIM5 1AF","PEEL","2 Aug 2023"
"23/00834/GB","Retrospective application for replacement roof covering and rooflight to rear 5 Charles Street\nPeel\nIsle Of Man\nIM5 1AF","PEEL","2 Aug 2023"
"23/00856/B","Proposed renovation work including re-roofing, re-render and new windows throughout. First floor extension to rear 1 Duke Street\nPeel\nIsle Of Man\nIM5 1NG","PEEL","28 Jul 2023"
"23/00906/B","Installation of replacement white UPVC sash windows to front elevation 59 Douglas Street\nPeel\nIsle Of Man\nIM5 1BD","PEEL","1 Aug 2023"
"23/00066/B","Change of use from public house (use class 1.3) to create ten apartments (use class 3.4) while retaining original element of building, demolition of previous extensions and erection of new replacement extension. Britannia Hotel\nWaterloo Road\nRamsey\nIsle Of Man\nIM8 1DR","RAMSEY","30 Jan 2023"
"23/00816/B","Erection of a car port for covered parking Ballachrink\nGrove Mount\nRamsey\nIsle Of Man\nIM8 3HP","RAMSEY","31 Jul 2023"
"23/00878/B","Erection of a fence (retrospective) Kerrocoar\nLezayre Road\nRamsey\nIsle Of Man\nIM8 2TD","RAMSEY","2 Aug 2023"
"23/00805/B","Erection of two agricultural buildings Field 414783 \nBallachrink Farm,\nSurby\nPort Erin\nIM9 6QR\n","RUSHEN","2 Aug 2023"
