"Application Number","Details","Local Authority","Date"
"23/01211/B","Variation of conditions 1 and 4 of PA 21/01503/C to allow weddings to be held until the end of 2025 and for a reduced time between weddings Kielthusthag Lodge\nSmeale\nRamsey\nIsle Of Man\nIM7 3EB\n","ANDREAS","17 Oct 2023"
"23/01178/B","Erection of a poly tunnel to south east corner of field no. 420669 Field 420669\nRonague Road\nRonague\nCastletown\nIsle Of Man\n\n","ARBORY","18 Oct 2023"
"23/01183/B","Erection of summer house to be used as a private gym/wellness retreat (Retrospective) Ballamoar Cottage\nEarystane\nColby\nIsle Of Man\nIM9 4HN\n","ARBORY","18 Oct 2023"
"23/01154/B","Resurfacing an area of permeable paving in the car park with reinforced concrete paving. Operational Service Centre\nIsle Of Man Business Park\nDouglas\nIsle Of Man\nIM2 2QY\n","BRADDAN","13 Oct 2023"
"23/01189/B","Erection of extension, porch extension, creation of raised decking and installation of a flue 14 Copse Hill\nDouglas\nIsle Of Man\nIM2 1ND\n","DOUGLAS","12 Oct 2023"
"23/01205/B","Removal of a chimney stack 50 Cronk Y Berry\nDouglas\nIsle Of Man\nIM2 6EU\n","DOUGLAS","12 Oct 2023"
"23/01207/B","Erection of a replacement garage South Of Brighton Terrace\nGarage\nWestmoreland Road\nDouglas\nIsle Of Man\n\n","DOUGLAS","18 Oct 2023"
"23/01208/CON","Registered Building consent for demolition elements to PA 23/01207/B South Of Brighton Terrace\nGarage\nWestmoreland Road\nDouglas\nIsle Of Man\n\n","DOUGLAS","18 Oct 2023"
"23/01148/B","Erection of external decking area (part retrospective) Bramble Brae\nNew Road\nLaxey\nIsle Of Man\nIM4 7HS\n","GARFF","17 Oct 2023"
"23/01166/B","Erection of a garden room to replace a shed and a separate decking platform (retrospective) Maycroft\nMinorca Hill\nLaxey\nIsle Of Man\nIM4 7DN\n","GARFF","12 Oct 2023"
"23/01175/C","Apply for additional use for tourist accommodation Glevum\nThe Promenade\nLaxey\nIsle Of Man\nIM4 7DF\n","GARFF","18 Oct 2023"
"23/01212/B","Installation of a replacement front door (retrospective) Thie N Lhargee\nRencell\nLaxey\nIsle Of Man\nIM4 7BN\n","GARFF","18 Oct 2023"
"23/01149/B","Demolition of the existing garage and the erection of a two bedroom dwelling with associated hard and soft landscaping with surface and foul drainage all as an amended drawings application relating back to approved application reference PA 20/00729/B Land North Of Fo Chronk\nStation Road\nSt Johns\nIsle Of Man\nIM4 3AH\n","GERMAN","12 Oct 2023"
"23/01179/B","Reinstatement of former door opening and new rainwater downpipe to front elevation. Fir Cottage\nGlen Auldyn\nRamsey\nIsle Of Man\nIM7 2AG\n","LEZAYRE","12 Oct 2023"
"23/01203/B","Erection of replacement cricket nets Marown Memorial Playing Fields\nOld Church Road\nCrosby\nIsle Of Man\nIM4 2HA\n","MAROWN","12 Oct 2023"
"23/01171/B","Installation of replacement roof tiles Beachway\nBalleira Road\nKirk Michael\nIsle Of Man\nIM6 1EE\n","MICHAEL","18 Oct 2023"
"23/01194/B","Alterations including removal of fixed glazing units with the installation of two new Pyramid rooflights 45 Buttermere Drive\nOnchan\nIsle Of Man\nIM3 2EB\n","ONCHAN","13 Oct 2023"
"22/01340/B","The development of eight townhouses and associated car parking and landscaping Land At Corner Of Premier Road And Mooragh Promenade\nPremier Road\nRamsey\nIsle Of Man\n\n","RAMSEY","14 Nov 2022"
"23/00744/B","Full approval for a residential development comprising up to 153 dwellings and community uses with associated highway and pedestrian access and infrastructure, drainage, landscaping and public open space together with approval in principle for a primary school on land at Vollan Fields together with enhancement of existing habitat on land to the east of Royal Park Land At Vollan Field No\'s 131042, 131043, 135315 And 135318\nLand East Of Royal Park Field No\'s 131085 And 135140\nAndreas Road\nRamsey\nIsle Of Man\nIM7 4EA","RAMSEY","3 Jul 2023"
