"Application Number","Details","Local Authority","Date"
"23/00403/B","Creation of additional driveway and Change of Use of existing family room to a beauty room. 47 Larivane Meadows\nAndreas\nIsle Of Man\nIM7 4JF\n","ANDREAS","30 Mar 2023"
"23/00359/B","Erection of an agricultural polytunnel, erection of a workshop with attached equipment store, installation of ground mounted solar panels and creation of a wildlife pond Field 420426 \nBallacannell\nEarystane\nColby\nIsle Of Man\nIM9 4HN\n","ARBORY","5 Apr 2023"
"23/00412/B","Installation of lantern top on existing flat roof, insulation below flat roof and removal of structural pillar/wall 33 Ballacriy Park\nColby\nIsle Of Man\nIM9 4LU","ARBORY","3 Apr 2023"
"22/00416/B","Combined approval in principle and full approval for phased development for industrial and business park uses including Class 2.1, 2.2, 2.3 and 2.4 together with access and associated infrastructure. Full approval for the access, estate road, strategic drainage infrastructure, structural landscaping and biodiversity enhancement areas and with Phase 1 of the employment units (Zone A). All matters apart from access reserved for the development within Zones B, C and D Land To The South Of Cooil Road\nBraddan\nIsle Of Man\n\n","BRADDAN","27 Apr 2022"
"23/00332/B","Two double storey extensions to front and rear and extension to ground floor utility room Fuchsia House\nOld Castletown Road\nPort Soderick\nIsle Of Man\nIM4 1BB\n","BRADDAN","22 Mar 2023"
"23/00380/B","Erection of security fence Media House\nBallafletcher Road\nCronkbourne\nDouglas\nIsle Of Man\nIM4 4RA\n","BRADDAN","30 Mar 2023"
"23/00383/B","Erection of proposed garage in place of existing garage with store and home office above Phoenix Cottage\nBallacorey Road\nBride\nIsle Of Man\nIM7 4AW\n","BRIDE","31 Mar 2023"
"23/00376/B","Proposed dormer to the rear of the property, two new roof lights to the front elevation and re-roofing of the property 22 The Crofts\nCastletown\nIsle Of Man\nIM9 1LZ","CASTLETOWN","4 Apr 2023"
"23/00395/B","Installation of roof dormer off rear elevation and installation of canopy over ground floor doors on front elevation 16 Brewery Wharf\nCastletown\nIsle Of Man\nIM9 1EU","CASTLETOWN","3 Apr 2023"
"23/00108/B","Demolish a portion of the existing garage, erection of an additional storey to create a single bedroom dwelling and Change of Use from a garage to a residential property The Garage\nEsplanade Lane\nCentral Promenade\nDouglas\nIsle Of Man\nIM2 4LP\n","DOUGLAS","9 Feb 2023"
"23/00339/B","Proposed Change of Use from commercial warehouse to mixed use of residential and place of worship, to include external changes for additional doors/windows. Canberra House\n13 Princes Street\nDouglas\nIsle Of Man\nIM1 1BB\n","DOUGLAS","31 Mar 2023"
"23/00390/CON","Registered Building consent for demolition of garage, in relation to PA23/00391/B Ruskinville\nLittle Switzerland\nDouglas\nIsle Of Man\nIM2 6AE","DOUGLAS","4 Apr 2023"
"23/00391/B","Demolition of garage, and erection of replacement garden room. Erection of gazebo and installation of driveway gates and pillars to front elevation (in relation with 23/00390/CON) Ruskinville\nLittle Switzerland\nDouglas\nIsle Of Man\nIM2 6AE","DOUGLAS","4 Apr 2023"
"23/00393/B","Installation of replacement windows and doors, re-colour of existing roof\n Ferndale\nSaddle Road\nDouglas\nIsle Of Man\nIM2 1HG","DOUGLAS","3 Apr 2023"
"23/00382/B","Removal of boundary wall and associated landscaping and erection of 2 sheds to the rear (retrospective) Inglenook\nFairy Cottage\nLaxey\nIsle Of Man\nIM4 7BR\n","GARFF","30 Mar 2023"
"23/00384/B","Alterations including the erection of ground and first floor extensions to provide additional living accommodation Capel Glen\nPinfold Hill\nLaxey\nIsle Of Man\nIM4 7HP","GARFF","31 Mar 2023"
"23/00388/B","Construction of seven detached houses and associated infrastructure Fields 612727 & 612728\nBaldrine Farm\nBaldrine Road\nBaldrine\n\n\n\n","GARFF","5 Apr 2023"
"23/00425/B","Proposed enlargement of parking area Ard Beg\nPinfold Hill\nLaxey\nIsle Of Man\nIM4 7HN","GARFF","5 Apr 2023"
"21/00912/B","Erection of Industrial Unit for general industrial/light industrial/storage/distribution with associated parking (amendment to approved under PA 21/00294/B) Unit 04 (Block B) \nFormer Bulk Gas Storage Installation\nBalthane Industrial Estate\nBallasalla\nIM9 2AG","MALEW","11 Aug 2021"
"23/00404/C","Additional use of holiday accomodation as residential use Edd Gollan Geayee\nCordeman Road\nSt Marks\nBallasalla\nIsle Of Man\nIM9 3AJ\n","MALEW","30 Mar 2023"
"23/00407/B","Proposed alterations and extension to side North-West elevation to create additional living accommodation. Edd Beg\nKerrowkeil Road\nGrenaby\nBallasalla\nIsle Of Man\nIM9 3BB\n","MALEW","5 Apr 2023"
"23/00410/B","Installation of replacement windows and door to front elevation Elm Cottage\nMain Road\nBallasalla\nIsle Of Man\nIM9 2DA","MALEW","5 Apr 2023"
"23/00328/B","Extend the existing attached garage Seedlodge\nCorner Of Eyreton Road And Bromet Road\nCrosby\nIsle Of Man\nIM4 4BR","MAROWN","4 Apr 2023"
"23/00398/B","Construct new home gym extension to side of existing garage at rear of property Greeba View\nMain Road\nCrosby\nIsle Of Man\nIM4 2DQ\n","MAROWN","5 Apr 2023"
"23/00253/CON","Registered building consent for alterations to external openings, installation of dormer, and internal alteration/restoration works (in association with 23/00254/GB)- RB 1 Bishopscourt\nBishopscourt\nKirk Michael\nIsle Of Man\nIM6 2EZ\n","MICHAEL","31 Mar 2023"
"23/00254/GB","Alterations to openings at ground floor level on the rear and side elevations, and the installation of a dormer window (in association with RB consent application 23/00253/CON) Bishopscourt\nBishopscourt\nKirk Michael\nIsle Of Man\nIM6 2EZ\n","MICHAEL","31 Mar 2023"
"23/00312/B","Extension to existing bedroom 35 Howe Road\nOnchan\nIsle Of Man\nIM3 2BA","ONCHAN","5 Apr 2023"
"23/00361/B","Alterations including single storey extension to east elevation, enlargement of first floor dormer to south elevation and erection fencing to east boundary 27 Groudle Road\nOnchan\nIsle Of Man\nIM3 2EH","ONCHAN","5 Apr 2023"
"23/00375/B","The installation of a new septic tank and drainage field. Glenholme\nKing Edward Road\nOnchan\nIsle Of Man\nIM3 2JY","ONCHAN","4 Apr 2023"
"23/00385/B","Installation of wood burning stove with external flue Little Drayton\n3 Sprucewood Rise\nFoxdale\nIsle Of Man\nIM4 3JP\n","PATRICK","3 Apr 2023"
"22/01266/B","Erection of a replacement conservatory. 9 The Links\nPeel\nIsle Of Man\nIM5 1LP\n","PEEL","20 Oct 2022"
"23/00373/B","Creation of covered buggy storage area Golf Links\nRheast Lane\nPeel\nIsle Of Man\nIM5 1BG","PEEL","3 Apr 2023"
"23/00387/C","Change of use from retail to leisure 11 Michael Street\nPeel\nIsle Of Man\nIM5 1HB\n","PEEL","3 Apr 2023"
"23/00354/B","Proposed installation of Solar Photovoltaics (PV) to roof of approved development Spaldrick House\nBradda Road\nPort Erin\nIsle Of Man\nIM9 6PQ","PORT ERIN","30 Mar 2023"
"23/00355/B","Installation of a roof cowl to north elevation. Spaldrick House\nBradda Road\nPort Erin\nIsle Of Man\nIM9 6PQ","PORT ERIN","30 Mar 2023"
"23/00389/B","Replacement of former timber garage with new Car Port and raised decking/balcony area above, including means of access and external works Croit Ny Marrey\nShore Road\nPort Erin\nIsle Of Man\nIM9 6HL","PORT ERIN","3 Apr 2023"
"23/00333/B","Variation of Condition 1 of PA 18/01241/B, Extension to existing dwelling and garage and installation of flue, to increase the period of permission by two years Sea Song Previously Known As Sea Brow\nClifton Road\nPort St Mary\nIsle Of Man\nIM9 5EL\n","PORT ST MARY","5 Apr 2023"
"23/00369/B","Alteration to reroof with concrete grey mini stonewold tiles, fitting dry verge and ridge system 16 Balleigh Mews\nRamsey\nIsle Of Man\nIM8 3NW","RAMSEY","30 Mar 2023"
"23/00356/B","Replacement of existing front porch, and replace existing conservatory with side extension. Installation of replacement dormers and replace existing wall with glass balustrade to balcony. Reayrt Ny Marrey\nMount Gawne Road\nPort St Mary\nIsle Of Man\nIM9 5LX\n","RUSHEN","30 Mar 2023"
"23/00368/B","Proposed Leisure Extension Seascapes\nMount Gawne Road\nPort St Mary\nIsle Of Man\nIM9 5LX\n","RUSHEN","30 Mar 2023"
"23/00422/B","Creation of driveway and vehicular access 12A Murrays Lake Drive\nMount Murray\nDouglas\nIsle Of Man\nIM4 2GZ\n","SANTON","5 Apr 2023"
