"Application Number","Details","Local Authority","Date"
"23/01272/B","Replace selected windows to front, side & rear elevation with upvc Glen Dene\nGlen Road\nColby\nIsle Of Man\nIM9 4PA\n","ARBORY","22 Nov 2023"
"23/01320/B","Extend existing garage, increase height and create additional living space 70 Ballacriy Park\nColby\nIsle Of Man\nIM9 4LY\n","ARBORY","21 Nov 2023"
"23/01300/B","Extension of existing car parking to provide 14 additional spaces. Marquis House\nIsle Of Man Business Park\nDouglas\nIsle Of Man\n\n","BRADDAN","21 Nov 2023"
"23/01358/C","Change of use from light industrial to storage and distribution and parking of vehicle (retrospective) Compound 41\nSnugborough Trading Estate\nUnion Mills\nIsle Of Man\nIM4 4LH\n","BRADDAN","22 Nov 2023"
"23/01323/B","Replace existing slates on the bell tower roof with GRP (Glass Reinforced Plastic/Fibreglass) panels that will be colour matched to the existing slates St Bridgets Church\nBride\nIsle Of Man\nIM7 4AT\n","BRIDE","16 Nov 2023"
"23/01309/B","Material change of conservatory roof to a solid roof. 30 The Crofts\nCastletown\nIsle Of Man\nIM9 1LZ\n","CASTLETOWN","16 Nov 2023"
"23/01356/GB","Proposed widening of vehicle entrances and driveway re-alignment (in association with RB consent PA 23/01357/CON) Crofton\nThe Crofts\nCastletown\nIsle Of Man\nIM9 1LW\n","CASTLETOWN","22 Nov 2023"
"23/01357/CON","Registered Building consent for alterations to existing pillars and gates (in association with PA 23/01356/GB) RB 261 Crofton\nThe Crofts\nCastletown\nIsle Of Man\nIM9 1LW\n","CASTLETOWN","22 Nov 2023"
"23/01375/B","Installation of a replacement front door West Craig\n37 Hope Street\nCastletown\nIsle Of Man\nIM9 1AP\n","CASTLETOWN","22 Nov 2023"
"23/01170/B","Conversion of town house into 4 flats together with addition of dormer and the replacement of windows and external doors. 9 Auckland Terrace\nWindsor Road\nDouglas\nIsle Of Man\nIM1 3LD\n","DOUGLAS","18 Oct 2023"
"23/01310/B","The conversion of unused areas on the ground floor of the existing Clinic into two nos. one-bedroom apartments Tracey Bell Clinic \nKensington Road\nDouglas, \nIM1 3PE\n","DOUGLAS","21 Nov 2023"
