"Application Number","Details","Local Authority","Date"
"23/00280/B","Re-site village play park to area currently known as Millennium Garden Andreas Village Millennium Garden\nAndreas Village\nIsle Of Man\nIM7 4EZ\n","ANDREAS","13 Mar 2023"
"23/00967/B","Erection of detached summer house/office to the rear garden 29 Ballalough Estate\nAndreas\nIsle Of Man\nIM7 4HU","ANDREAS","24 Aug 2023"
"23/01019/B","Erection of front porch 17 Glebe Aalin\nBallaugh\nIsle Of Man\nIM7 5BW","BALLAUGH","25 Aug 2023"
"23/00725/B","Conversion of existing out-building (former dairy barn) to provide habitable accommodation for residential/tourist use The Barn\nBallavarteen West\nGrenaby Road\nDogmills\nRamsey\nIsle Of Man\n\n","BRIDE","4 Jul 2023"
"23/00950/CON","Registered building consent for internal and external alterations and renovation works, including erection of replacement rear extension & formation of doorway between Harbour House & The Granary - RB 47 & RB 48 (in association with application 23/00947/GB) Harbour House & The Granary\nThe Quay\nCastletown\nIsle Of Man\nIM9 1LD","CASTLETOWN","24 Aug 2023"
"23/00291/B","The development proposes the construction of 133 new dwellings split across apartments, townhouses, small blocks of flats and a senior living block. In addition, a new scout hut/community pavilion, refurbishment and extension of Crookall House as office space, replacement existing sub-station and associated external landscaping, highways and drainage works. Crookall House (+ Surrounding Site)\nDemesne Road\nDouglas\nIsle Of Man\nIM1 3DX","DOUGLAS","26 Apr 2023"
"23/00464/B","Subdivision of existing single flat to 2 no. flats including erection of rear access staircase and replacement rear extension. Installation of replacement windows and resiting of shopfront door 8 Prospect Terrace\nWoodbourne Road\nDouglas\nIsle Of Man\nIM1 3AL\n","DOUGLAS","19 Apr 2023"
"23/00942/B","Construction of four detached houses and associated infrastructure Land South Of Leyton\nFormer Air Raid Shelter Site \nVictoria Road\nDouglas\nIsle Of Man\nIM2 6AQ\n","DOUGLAS","29 Aug 2023"
"23/00945/B","Alteration of existing entrance canopy to create sloped roof with glazed infill creating porch 50 & 52 Berry Woods Avenue \nDouglas\nIM2 7DB","DOUGLAS","29 Aug 2023"
"23/00983/B","Enclosure of external yard area to form covered utility space 50A Allan Street\nDouglas\nIsle Of Man\nIM1 3DN\n","DOUGLAS","25 Aug 2023"
"23/01027/B","Installation of replacement windows (part retrospective) Nuno\'s Fitness Centre\nKingswood Grove\nDouglas\nIsle Of Man\nIM1 3LY\n","DOUGLAS","29 Aug 2023"
"23/01028/B","Installation of twenty replacement PVC casement style windows 45 Victoria Street\nDouglas\nIsle Of Man\nIM1 2LD\n","DOUGLAS","29 Aug 2023"
"23/00818/REM","Reserved Matters application to PA 22/00669/A for the erection of two residential dwellings addressing siting, landscaping, drainage, means of access, internal layout and external appearance Balla Bluff\nPinfold Hill\nLaxey\nIsle Of Man\nIM4 7HL","GARFF","12 Jul 2023"
"23/00889/B","Construction of a boundary wall along the roadside frontage of Hawthorn Cottage Hawthorn Cottage\nMaughold\nIsle Of Man\nIM7 1AS\n","GARFF","26 Jul 2023"
"23/00876/B","Construction of general industrial and storage units to units 3 to 8 and Approval in Principle for units 1, 2 and 9 to 19 for general industrial and storage use Land At\nThe Paddocks\nJurby Industrial Estate\nJurby\nIsle Of Man\n\n","JURBY","30 Aug 2023"
"23/00939/B","Conversion and erection of extension to two existing barns to provide self-catering tourist accommodation with creation of additional parking and landscaping Upper Kerrowmoar\nKerrowkeil Road\nGrenaby\nBallasalla\nIsle Of Man\nIM9 3BB","MALEW","30 Aug 2023"
"23/00910/B","Construction of new engine house plant room, installation of hardstanding and external plant equipment, and upgrading of site services within grounds Bishopscourt\nBishopscourt\nKirk Michael\nIsle Of Man\nIM6 2EZ\n","MICHAEL","29 Aug 2023"
"23/00958/B","Conversion of existing guest house and apartment to eight apartments with alterations and extensions and new vehicular access Erin House\nAthol Park\nPort Erin\nIsle Of Man\nIM9 6EX","PORT ERIN","24 Aug 2023"
"23/00986/B","Replace the existing balcony guard rails to the first and second floors of the Station Road elevation to the above apartment complex. Balconies to be changed from timber guardrail to glass with stainless steel handrail Cherry Orchard Apartments\nBridson Street\nPort Erin\nIsle Of Man\nIM9 6AN\n","PORT ERIN","29 Aug 2023"
"23/01034/B","Change of use of the former garage to a 1000L commercial micro-brewery and taproom/events space for licensed events (amendment to PA 23/00521/C) Kerroo Brewing Company\nDroghadfayle Road\nPort Erin\nIsle Of Man\nIM9 6EE\n","PORT ERIN","30 Aug 2023"
"23/00066/B","Change of use from public house (use class 1.3) to create ten apartments (use class 3.4) while retaining original element of building, demolition of previous extensions and erection of new replacement extension. Britannia Hotel\nWaterloo Road\nRamsey\nIsle Of Man\nIM8 1DR","RAMSEY","30 Jan 2023"
"23/00067/CON","Demolition of previous extensions and erection of new replacement extension In association with application PA 23/00066/B Britannia Hotel\nWaterloo Road\nRamsey\nIsle Of Man\nIM8 1DR","RAMSEY","30 Jan 2023"
"23/00795/B","Rendering to the south west facing wall including porches Apartments 6 And 8 Elfin Court \nVernon Road\nRamsey\nIsle Of Man\nIM8 2HB","RAMSEY","29 Aug 2023"
"23/00955/C","Additional use of residential apartment as tourist accommodation Flat 16 Antrim Hotel\nMooragh Promenade\nRamsey\nIsle Of Man\nIM8 3AQ","RAMSEY","24 Aug 2023"
"23/00992/B","Replacement two storey extension to rear elevation and single storey extension adjacent 22 Waterloo Road\nRamsey\nIsle Of Man\nIM8 1DU","RAMSEY","29 Aug 2023"
