"Application Number","Details","Local Authority","Date"
"23/00063/B","Variation of condition 3 of PA 14/00689/C to extend the use of land at the former Ballakinnish Nurseries Site as a DOI Highways Depot for a further three years Ballakinnish Nurseries\nBallakinnish\nDouglas\nIsle Of Man\nIM4 1JJ\n","BRADDAN","20 Jan 2023"
"23/00079/B","Erection of first floor extension above existing garage 31 Clybane Rise\nDouglas\nIsle Of Man\nIM2 2LY","BRADDAN","25 Jan 2023"
"22/01550/B","Demolish existing kitchen space, erection of extensions to provide garden store, utility, family kitchen space and ancillary living accommodation to the rear and widen driveway 14 Third Avenue\nDouglas\nIsle Of Man\nIM2 6AL","DOUGLAS","19 Jan 2023"
"23/00037/B","Removal of Chimney Stacks and removal of slate roof and replace with flat roof Sam Webbs\n9 Marina Road\nDouglas\nIsle Of Man\nIM1 2HG","DOUGLAS","25 Jan 2023"
"23/00038/CON","Registered Building consent for demolition elements to PA 23/00037/B Sam Webbs\n9 Marina Road\nDouglas\nIsle Of Man\nIM1 2HG","DOUGLAS","25 Jan 2023"
"23/00041/B","Demolition of an existing rear conservatory and utility accommodation, garage conversion and erection of replacement with a rear/side single storey extension 19 Devonshire Road\nDouglas\nIsle Of Man\nIM2 3QY","DOUGLAS","25 Jan 2023"
"23/00070/B","Widening of existing vehicular access Dreeym Lang\nTromode Park\nDouglas\nIsle Of Man\nIM2 5LB","DOUGLAS","24 Jan 2023"
"23/00013/B","Proposed Alterations and Extensions Coppice Farm\nKerrowmoar\nRamsey\nIsle Of Man\nIM7 2AX\n","LEZAYRE","19 Jan 2023"
"23/00033/B","Alterations to dwelling involving window door amendments, renew roof covering and cladding boards, erect first floor external balcony and build a storm porch canopy Thie-Ny-Ree\nBallacharry Road\nSt Marks\nBallasalla\nIsle Of Man\nIM9 3AU","MALEW","25 Jan 2023"
"23/00020/B","new window to side elevation at back of property window size 1 metre by 1.2 metre (retrospective) Roy Lea\n4 Greeba Avenue\nGlen Vine\nIsle Of Man\nIM4 4ED","MAROWN","25 Jan 2023"
"23/00039/B","Installation of three ground floor windows; one to the front, side and rear elevations 46 Main Road\nOnchan\nIsle Of Man\nIM3 1AL\n","ONCHAN","25 Jan 2023"
"23/00030/B","Alterations and extension to existing garden wall, removal of existing hedgerow and installation of glass balustrade and external stair 9 Mourne View\nPeel\nIsle Of Man\nIM5 1UJ","PEEL","25 Jan 2023"
"23/00032/B","Demolition and reconstruction of the two bedrooms to the eastern side of the dwelling and replacement roof covering 49 Station Road\nPort Erin\nIsle Of Man\nIM9 6AR","PORT ERIN","25 Jan 2023"
"22/01552/D","Creation of an Illuminated Site Sales Board Bayqueen \nThe Promenade\nPort St Mary\nIsle Of Man\nIM9 5DG\n","PORT ST MARY","24 Jan 2023"
"23/00080/B","Variation of Condition 1 of PA 18/00996/B, Alterations and erection of front and rear elevations, to increase the period of permission by four years 1 Premier Road\nRamsey\nIsle Of Man\nIM8 3AS","RAMSEY","25 Jan 2023"
"23/00036/B","Variation of Condition 1 of PA 21/00238/B, Erection of a replacement dwelling, to increase the period of permission by one year Perk Cottage\nKnock Froy Road\nSanton\nIsle Of Man\nIM4 1JD","SANTON","24 Jan 2023"
