"Application Number","Details","Local Authority","Date"
"23/01472/B","Extension to the front of the garage and utility 17 Larivane Close\nAndreas\nIsle Of Man\nIM7 4HD\n","ANDREAS","19 Dec 2023"
"23/01458/B","Erection of detached Garage extension to side of existing dwelling Greystones\nMain Road\nUnion Mills\nIsle Of Man\nIM4 4AG\n","BRADDAN","19 Dec 2023"
"23/01471/B","Replacement of existing roofs, removal of unused chimney stack, replacement of windows; replacement of conservatory roof with lightweight tile Skyrwyllin\nMain Road\nUnion Mills\nIsle Of Man\nIM4 4AD\n","BRADDAN","20 Dec 2023"
"23/01413/B","Removal of part front boundary wall to widen existing driveway and vehicular access 40 Victoria Road\nCastletown\nIsle Of Man\nIM9 1ED\n","CASTLETOWN","19 Dec 2023"
"23/01426/B","Installation of replacement windows and back door. 77 Malew Street\nCastletown\nIsle Of Man\nIM9 1LX\n","CASTLETOWN","14 Dec 2023"
"23/01170/B","Conversion of town house into 4 flats together with addition of dormer and the replacement of windows and external doors. 9 Auckland Terrace\nWindsor Road\nDouglas\nIsle Of Man\nIM1 3LD\n","DOUGLAS","18 Oct 2023"
"23/01186/B","Installation of a wind turbine 10 Beechwood Rise\nDouglas\nIsle Of Man\nIM2 5NE\n","DOUGLAS","25 Oct 2023"
"23/01291/B","Replace the roof finish Wool Control\nPeel Road\nDouglas\nIsle Of Man\nIM1 4LX\n","DOUGLAS","18 Dec 2023"
"23/01315/B","Partial removal of front boundary wall to widen access to driveway. Dorian\n33 Albany Road\nDouglas\nIsle Of Man\nIM2 3NE\n","DOUGLAS","18 Dec 2023"
"23/01403/B","Alterations to garage to form ancillary accommodation to existing attic space 19 Marathon Avenue\nDouglas\nIsle Of Man\nIM2 4JB\n","DOUGLAS","14 Dec 2023"
"23/01424/B","Replacement of existing, derelict three apartment building with a block of six apartments, together with associated parking and facilities and public highway improvements. Sea Court\nVictoria Road\nDouglas\nIsle Of Man\n\n","DOUGLAS","18 Dec 2023"
"23/01428/B","Replace two original single glazed windows with double glazing windows Fairleigh\nHilary Park\nDouglas\nIsle Of Man\nIM2 3ED\n","DOUGLAS","19 Dec 2023"
"23/01436/B","Installation of flue for woodburning stove 38 Ballaquark\nDouglas\nIsle Of Man\nIM2 2ET\n","DOUGLAS","19 Dec 2023"
"23/01448/C","Change of use from restaurant to personal training studios L\'Experience\nSummerhill\nDouglas\nIsle Of Man\nIM2 4PL\n","DOUGLAS","18 Dec 2023"
"23/01453/CON","Registered building consent for alterations to facilitate a change of use to gym - RB 188 (in association with 23/01454/GB) All Saints Church\nAlexander Drive\nDouglas\nIsle Of Man\nIM1 4EB\n","DOUGLAS","15 Dec 2023"
"23/01454/GB","Alterations to facilitate a change of use from place of worship to gym with associated facilities (in association with 23/01453/CON) All Saints Church\nAlexander Drive\nDouglas\nIsle Of Man\nIM1 4EB\n","DOUGLAS","15 Dec 2023"
"23/01465/B","Erection of a first-floor extension to the existing first-floor apartment 6 Bathurst Street\nDouglas\nIsle Of Man\nIM2 3HH\n","DOUGLAS","19 Dec 2023"
"23/01470/B","Installation of galvanised steel staircase to create secondary access to inner harbour pontoon from adjacent car park at the bottom of Fort Anne Road. The Tongue\nDouglas\nIsle Of Man\n\n","DOUGLAS","20 Dec 2023"
"23/01478/D","Erection of a non-illuminated sign in the Bowl car park on the back of an existing sign on Pulrose Bridge Car Park\nPulrose Road\nDouglas\nIsle Of Man\nIM2 1RB\n","DOUGLAS","19 Dec 2023"
"23/01422/B","Demolition of an existing conservatory and replacement with an extension; erection of a porch; extension of an existing entrance porch. Corony Beg\nCorony Hill\nCorony\nRamsey\nIsle Of Man\nIM7 1EZ\n","GARFF","18 Dec 2023"
"23/01456/B","Installation of entrance door and two sidelights to existing open-fronted porch Ballaholly Bungalow\nJurby West\nIsle Of Man\nIM7 3AS\n","JURBY","14 Dec 2023"
"23/01364/B","Proposed erection of three pole-mounted photovoltaic trackers with associated equipment, containers and parking (part retrospective) Field 434112\nDouglas Road\nBallasalla\nIsle Of Man\n\n","MALEW","19 Dec 2023"
"23/01385/B","Alterations, extension, formation of car parking spaces and change of use from warehouse to a bio-manufacturing facility Unit 4,\nThe Freeport \nBallasalla\nIM9 2AP\nIM9 2AP\n","MALEW","20 Dec 2023"
"23/01418/B","Demolition of existing and erection of a detached dwelling with double garage and ancillary accommodation with associated landscaping and driveway Grenaby House\nFoxdale Road\nBallasalla\nIsle Of Man\nIM9 3DR\n","MALEW","19 Dec 2023"
