"Application Number","Details","Local Authority","Date"
"22/01378/B","Alterations and extensions to existing dwelling and erection of replacement garage Ballashamrock House\nPort Soderick Glen\nPort Soderick\nIsle Of Man\nIM4 1BE","BRADDAN","28 Nov 2022"
"23/00996/B","Alterations including erection of two storey extension to front elevation, single storey extension to rear elevation with roof terrace and removal of chimney 11 River Walk\nBraddan\nDouglas\nIsle Of Man\nIM4 4TJ","BRADDAN","6 Sep 2023"
"23/01011/B","Proposed extension to existing commercial building Media House\nBallafletcher Road\nCronkbourne\nDouglas\nIsle Of Man\nIM4 4RA\n","BRADDAN","6 Sep 2023"
"23/00853/B","Change of use from Beauty Salon (class 1.1) to Food & Drink (class 1.3) and installation of awning over pavement cafe area 37 Nelson Street\nDouglas\nIsle Of Man\nIM1 2AJ","DOUGLAS","2 Aug 2023"
"23/01000/GB","Variation of Condition one of PA 19/00808/GB (Alterations and refurbishment works to create ten hotel bedrooms and managers accommodation (in association with PA 19/00809/CON) to extend the period of approval by one year (in association with PA 23/01002/CON) Queens Hotel\nQueens Promenade\nDouglas\nIsle Of Man\nIM2 4NL","DOUGLAS","5 Sep 2023"
"23/01002/CON","Variation of Condition one of PA 19/00809/CON (Alterations and refurbishment works to create ten hotel bedrooms and managers accommodation (in association with PA 19/00808/GB) to extend the period of approval by one year (in association with PA 23/01000/B) Queens Hotel\nQueens Promenade\nDouglas\nIsle Of Man\nIM2 4NL","DOUGLAS","5 Sep 2023"
"23/01023/B","Installation of replacement front door 13 Berkeley Street\nDouglas\nIsle Of Man\nIM2 3QB","DOUGLAS","6 Sep 2023"
"23/01036/B","Installation of replacement windows to front elevation Flat 4 \n8 Drury Terrace\nDouglas\nIsle Of Man\nIM2 3HY","DOUGLAS","6 Sep 2023"
"23/01033/B","Erection of three stables alongside existing agricultural building and additional use of existing and proposed building and site for equestrian as well as agricultural purposes, installation of pipe within existing ditch and mesh on the access lane (retrospective) Field 314293, 314294, 315095, 311250 And 311251\nStaarvey Road\nPeel\nIsle Of Man\n\n","GERMAN","5 Sep 2023"
"23/00755/B","Single storey rear extension to replace existing conservatory Traa Dy Liooar Cottage\nBallamona Straight\nJurby\nIsle Of Man\nIM7 3AP\n","JURBY","18 Jul 2023"
"23/00988/B","Installation of service reservoir and connecting pump station with associated access, boundary fencing and landscaping Land West Of Jurby Medical Centre\n(Former Jurby Camp)\nJurby Industrial Estate\nJurby\nIsle Of Man\nIM7 3BZ\n","JURBY","6 Sep 2023"
"23/00990/B","Rebuild existing stone wall in new location to allow visibility splay approved in PA20/01246/B Land Between Glas Choille And Winston\nGlen Auldyn Road\nRamsey\nIsle Of Man\n\n","LEZAYRE","5 Sep 2023"
"23/01006/B","New House (amendments to PA20/01246/B) Land Between Glas Choille & Winston \nGlen Auldyn\nLezayre\nIsle Of Man\n\n","LEZAYRE","5 Sep 2023"
"23/01022/B","Enlargement of horse riding arena and change of use of fields 435361 and 435344 from agricultural to equestrian. Corlea Farm\nCorlea Road\nBallasalla\nIsle Of Man\nIM9 3BA\n","MALEW","4 Sep 2023"
"23/00968/B","Removal of chimney stack, to be replaced by matching roof tiles 16 Ballagorry Drive\nGlen Mona\nRamsey\nIsle Of Man\nIM7 1HE","MAUGHOLD","1 Sep 2023"
"23/01009/B","Replace existing windows with sliding doors to ground floor unit Ocean Views \nOnchan Park\nOnchan\nIM3 1HU\n","ONCHAN","5 Sep 2023"
"23/01037/D","Fabric retractable canopy extending from existing parks building including signwriting ""OCEAN BAR"" Ocean Views\nOnchan Park\nOnchan\nIsle Of Man\nIM3 1HU\n","ONCHAN","6 Sep 2023"
"22/00361/B","Proposed demolition of existing public house and erection of six dwellings and one commercial building to the site with associated parking and amenity space Waterfall Hotel\nShore Road\nGlen Maye\nIsle Of Man\nIM5 3BG","PATRICK","11 Apr 2022"
"23/01017/C","Proposed change of use from garden room & store to living accommodation - with additional use for tourist lets Kerrowdhoo Farmhouse\nGleneedle\nLower Foxdale\nIsle Of Man\nIM4 3BG\n","PATRICK","1 Sep 2023"
"23/01015/CON","Registered buiding consent for internal alterations to various elements including the tiled floor, raised platform, lobby, kitchen and toilets (forming amendments to consent granted under 18/00530/CON) - RB 204 Cathedral Isle Of Man\n(formerly St Germans Cathedral)\nDerby Road\nPeel\nIsle Of Man\nIM5 1HH\n","PEEL","4 Sep 2023"
"23/00913/B","Erection of a single storey extension to the rear elevation Galean\nAthol Street\nPort St Mary\nIsle Of Man\nIM9 5DS\n","PORT ST MARY","4 Sep 2023"
"23/00946/B","Removal of part of rear boundary wall to create access and additional vehicular parking Eskdale\n12 Bowring Road\nRamsey\nIsle Of Man\nIM8 3EN","RAMSEY","5 Sep 2023"
"23/01030/B","Installation of twin wall flue 23 St Pauls Mews\nRamsey\nIsle Of Man\nIM8 1EE","RAMSEY","6 Sep 2023"
"23/01032/C","Change of use from garages and workshop to warehousing and storage (retrospective) Garages And Workshop\nShipyard Road\nRamsey\nIsle Of Man\nIM8 3DW\n","RAMSEY","4 Sep 2023"
