"Application Number","Details","Local Authority","Date"
"23/00186/B","Renewal of PA 18/00319/B Erection of rear single storey extension based on modified design of single flat roof together with the installation of windows and doors (retrospective) 6 Larivane Meadows\nAndreas\nIsle Of Man\nIM7 4JD\n","ANDREAS","24 Feb 2023"
"23/00417/B","Replacing roof tiles throughout (including installation of solar panels) South Fork\n2 The Church View\nBraddan\nDouglas\nIsle Of Man\nIM4 4TF","BRADDAN","6 Apr 2023"
"23/00450/C","Additional use of agricultural building for the parking of a HGV vehicle Ballacowle Farm\nLhen Road\nBride\nIsle Of Man\nIM7 4BQ\n","BRIDE","11 Apr 2023"
"23/00424/B","Erection of a Dwelling 9 River Meadows (Plot 60)\nCastletown\nIsle Of Man\nIM9 1DU\n","CASTLETOWN","12 Apr 2023"
"23/00364/B","Erection of a detached garage and annex above. Brae Villa\nTromode Road\nDouglas\nIsle Of Man\nIM2 5EJ","DOUGLAS","12 Apr 2023"
"23/00372/B","Conversion of existing offices to form two self-contained apartments 39 Bucks Road\nDouglas\nIsle Of Man\nIM1 3DE","DOUGLAS","12 Apr 2023"
"23/00409/B","Demolish existing garage and erect proposed new garage with utility and sunroom to rear elevation 8 Laureston Grove\nDouglas\nIsle Of Man\nIM2 4BG","DOUGLAS","6 Apr 2023"
"23/00411/B","Installation of five velux roof lights, a velux sun tunnel, installation of bi-fold door in lieu of window and removal of chimney to rear elevation 61 Ballabrooie Way\nDouglas\nIsle Of Man\nIM1 4EY","DOUGLAS","11 Apr 2023"
"23/00413/B","Installation of replacement windows and demolition of rear garage and yard wall to provide additional parking 3 Stanley Terrace\nDouglas\nIsle Of Man\nIM2 4EP","DOUGLAS","6 Apr 2023"
"23/00414/CON","Registered Building consent for demolition elements to PA 23/00413/B 3 Stanley Terrace\nDouglas\nIsle Of Man\nIM2 4EP","DOUGLAS","6 Apr 2023"
"23/00415/B","Loft conversion into bedroom with rear dormer 14 Inner Circle\nDouglas\nIsle Of Man\nIM2 5BE","DOUGLAS","6 Apr 2023"
"22/00879/B","Erection of fencing to side front garden (partial retrospective) Thornhill\nHighfield Drive\nBaldrine\nIsle Of Man\nIM4 6EE","GARFF","25 Jul 2022"
"23/00331/B","Refurbishment of and extension to existing barn building and alterations/conversion of existing adjacent store to garage Barn Adjacent To Dreemskerry House\nBallajora Hill\nBallajora\nRamsey\nIsle Of Man\nIM7 1AZ","GARFF","6 Apr 2023"
"23/00433/B","Installation of replacement roof tiles Ballagyr Farm\nBallagyr Lane\nPeel\nIsle Of Man\nIM5 2AD\n","GERMAN","6 Apr 2023"
"23/00168/B","Erection of 45 industrial/storage & distribution units in four separate blocks Vacant Land Between Balthane Park \nIndustrial Estate And New\nBy-Pass Road\nDouglas Road\nBallasalla\nIsle Of Man\n\n","MALEW","14 Apr 2023"
"23/00335/A","Approval in principle for the erection of a four-bedroom bungalow and hardstand for garage/car port addressing siting, drainage and means of access Field 431163\nBallamodha Straight\nBallasalla\nIsle Of Man\nIM9 3EL\n","MALEW","6 Apr 2023"
"23/00416/REM","\\Reserved Matters application to PA 19/01402/A for the erection of a new dwelling with new access, and associated landscaping, groundworks and drainage Land Parcel Adjacent To\nBallasalla House\nBridge Road\nBallasalla\nIsle Of Man\n\n","MALEW","12 Apr 2023"
"23/00321/B","Erection of two access gates to rear of property 39 The Meadows\nKirk Michael\nIsle Of Man\nIM6 1EY","MICHAEL","6 Apr 2023"
"23/00402/B","New gate access Clypse Mooar Cottage Plot 1 \nClypse\nOnchan\nIM4 5BG","ONCHAN","12 Apr 2023"
"23/00448/B","Installation of replacement front timber door to composite door with toplight into existing aperture Sydney House\nAthol Street\nPort St Mary\nIsle Of Man\nIM9 5DS\n","PORT ST MARY","11 Apr 2023"
