"Application Number","Details","Local Authority","Date"
"23/00221/B","Change of use of land and buildings to animal sanctuary. Placement of container and hardstanding and installation of replacement drainage and septic tank (retrospective) The Stables\nGreenhill\nJurby Road\nAndreas\nIsle Of Man\nIM7 2EJ\n","ANDREAS","23 Feb 2023"
"23/00386/C","Temporary change of use of site for a family festival with associated day parking, camping and motorhomes for 30th June to 2nd July 2023 and 28th to 30th June 2024 and 27th to 29th June 2025. Fields 525114, 525121 and 524105, Rosehill Farm, Richmond Hill IM4 1JG. Rose Hill Farm\nRichmond Hill\nDouglas\nIsle Of Man\nIM4 1JG\n","BRADDAN","28 Mar 2023"
"22/01463/B","Sun room extension, demolition of out-riggers, renovation of a barn/garage into family accommodation, and renovation of the main house The Old House - Reef House\nCollege Green\nCastletown\nIsle Of Man\nIM9 1BE","CASTLETOWN","7 Dec 2022"
"23/00343/C","Additional use of boarding accommodation as tourist use during school holidays King Williams College\nKing Williams College Grounds\nCastletown\nIsle Of Man\nIM9 1TP\n","CASTLETOWN","23 Mar 2023"
"23/00183/B","Alterations to facilitate change of use from 8 permanent residential apartments to 9 tourist units as previously approved under PA 17/00046/B 11 Mona Drive\nDouglas\nIsle Of Man\nIM2 4LG","DOUGLAS","28 Mar 2023"
"23/00316/B","Variation of Condition no 1 of Planning Approval 21/00168/C to extend the approval for a further 2 years for the continued use as a temporary car park 37-41 Circular Road\nCircular Road\nDouglas\nIsle Of Man\n\n","DOUGLAS","27 Mar 2023"
"23/00325/B","Installation of window to rear gable of annex. 7 Lancaster Road\nDouglas\nIsle Of Man\nIM2 5BB","DOUGLAS","27 Mar 2023"
"23/00345/C","Change of use from office to aesthetic clinic First Floor\n10 Prospect Hill\nDouglas\nIsle Of Man\nIM1 1EJ\n","DOUGLAS","23 Mar 2023"
"23/00352/B","Installation of a pitched roof and creation of additional flat to the rear. 67 Strand Street\nDouglas\nIsle Of Man\nIM1 2EN","DOUGLAS","29 Mar 2023"
"23/00357/C","Additional use of apartment for tourism purposes / visitors 158 Spectrum Apartments\nCentral Promenade\nDouglas\nIsle Of Man\nIM2 4JL\n","DOUGLAS","29 Mar 2023"
"23/00360/B","Replacement of existing brown casement uPVC with sash style casement uPVC windows 14 Eastfield\nDouglas\nIsle Of Man\nIM1 4AU\n","DOUGLAS","22 Mar 2023"
"23/00365/B","Installation of timber decking within replacement Pavement Cafe Railway Hotel\nBanks Circus\nDouglas\nIsle Of Man\nIM1 5AB","DOUGLAS","29 Mar 2023"
"22/01395/B","Demolition of existing dwelling and replacement with new dwelling Dreem Aalin\nPort E Vullen\nRamsey\nIsle Of Man\nIM7 1AP\n","GARFF","16 Nov 2022"
"23/00228/B","Proposed alterations and remedial works, replacement windows, doors and roof and making good fa\xc3\xa7ade, creation of linking extension between the two existing buildings and change of use from commercial to residential and holiday let The Workshop\nVictoria Terrace \nGlen Road\nLaxey\nIsle Of Man\nIM4 7AJ","GARFF","7 Mar 2023"
"23/00317/B","Erection of detached workshop and installation of gated access to rear boundary Cronkbane\n5 Baldrine Park\nBaldrine\nIsle Of Man\nIM4 6DE\n","GARFF","28 Mar 2023"
"23/00323/B","Remove 3 unused chimney stacks. Pinecroft\nClay Head Road\nBaldrine\nIsle Of Man\nIM4 6DH","GARFF","27 Mar 2023"
"23/00330/B","Installation of replacement window to existing garage and creation of garage to existing car porch. Extension to rear garden terrace, installation of windows and door to the rear, removal of timber cladding and replaced with cladding and render finish Pine Lodge\nBaldhoon Road\nLaxey\nIsle Of Man\nIM4 7NA","GARFF","28 Mar 2023"
"23/00363/B","Installation of Air Source Heat Pump, to replace Fossil fuelled Boiler for hot water and heating Regent House\nUpper Cronk Orry\nLaxey\nIsle Of Man\nIM4 7QR\n","GARFF","24 Mar 2023"
"23/00171/B","Erection of agricultural building Section 1 Field 321821\nBallanicholas\nGarth\nCrosby\nIsle Of Man\n\n","MAROWN","27 Mar 2023"
"23/00346/B","Conversion from existing barn and stables to residential unit Ballacallin Beg Cottage\nFoxdale Road\nGarth\nCrosby\nIsle Of Man\nIM4 2HN","MAROWN","24 Mar 2023"
