"Application Number","Details","Local Authority","Date"
"23/00785/B","Erection of new sunroom extension to rear elevation Bride Cottage\nBride\nIsle Of Man\nIM7 4AT\n","BRIDE","20 Jul 2023"
"23/00790/B","Installation of 3 replacement ground floor bay windows with white uPVC Flat 5\n4 - 6 Selborne Road\nDouglas\nIsle Of Man\nIM1 4BU\n","DOUGLAS","20 Jul 2023"
"23/00791/B","Change of facade materials to the rear extension elevation installing standing seam cladding to match standing seam roof 2 Cambridge Terrace\nDouglas\nIsle Of Man\nIM1 3LL","DOUGLAS","25 Jul 2023"
"23/00843/B","Erection of a first floor extension 33A Derby Road\nDouglas\nIsle Of Man\nIM2 3EP","DOUGLAS","26 Jul 2023"
"23/00845/B","Conversion of existing shop premises to community cafe and shop 14 Sydney Street\nDouglas\nIsle Of Man\nIM1 3JG","DOUGLAS","26 Jul 2023"
"23/00861/CON","Registered Building consent for demolition elements to PA 23/00789/B 83 Woodbourne Road\nDouglas\nIsle Of Man\nIM2 3AW","DOUGLAS","26 Jul 2023"
"23/00879/B","Extension of driveway and vehicular access 5 Hillcroft Rise\nDouglas\nIsle Of Man\nIM2 7EH","DOUGLAS","25 Jul 2023"
"23/00780/B","Conversion of agricultural building to tourist accommodation Rhennie Farm\nMain Road\nDhoon\nRamsey\nIsle Of Man\nIM7 1HL","GARFF","20 Jul 2023"
"23/00842/B","Removal of a chimney stack 33 Baldrine Park\nBaldrine\nIsle Of Man\nIM4 6DB","GARFF","20 Jul 2023"
"23/00854/B","Variation of condition one of PA 21/00058/REM, Erection of a detached dwelling and garage, to extend period of permission by two years Land Adjacent To Laurieston House\nBooilushag\nBallajora\nRamsey\nIsle Of Man\n","GARFF","26 Jul 2023"
"23/00889/B","Construction of a boundary wall along the roadside frontage of Hawthorn Cottage Hawthorn Cottage\nMaughold\nIsle Of Man\nIM7 1AS\n","GARFF","26 Jul 2023"
"23/00771/B","Change of use of 2 units from tourist accommodation to residential Ballachrink Farmhouse\nJurby East\nIsle Of Man\nIM7 3HD\n","JURBY","20 Jul 2023"
"23/00798/B","Remove asbestos roof covering, replace with slate tiles and uPVC fascias and soffit boards. Demolish existing single skin garage and utility and replace with cavity garage and utility room. Create new first floor level including 2no. additional bedrooms and dormer Close Chirrym\nSt Judes Road\nSulby\nIsle Of Man\nIM7 2ES","LEZAYRE","26 Jul 2023"
"23/00239/B","A purpose built medicinal cannabis production facility and headquarters building for Grow Lab Organics Land To West Of The Rlc Building \nRonaldsway Business Park\nBallasalla\nIsle Of Man\nIM9 2RY\n","MALEW","16 Mar 2023"
"23/00749/B","Erection of timber cabin and replacement garden shed/store Reayrt Aalin\nBallavitchel Road\nCrosby\nIsle Of Man\nIM4 2DN","MAROWN","20 Jul 2023"
"23/00584/B","To erect a new stable block which consist of two stables, a hay store and change of use to equestrian use Field 334666\nBallachrink Farm\nDalby\nIsle Of Man\nIM5 3BN\n","PATRICK","2 Jun 2023"
"23/00838/B","Proposed replacement conservatory roof Westwold\nFoxdale Road\nSt Johns\nIsle Of Man\nIM4 3AS","PATRICK","26 Jul 2023"
"23/00786/C","Additional use of existing retail unit to run Baking/Decorating workshops Shop 2\nCaptain Cannons House\n7 Michael Street\nPeel\nIsle Of Man\nIM5 1HA\n","PEEL","27 Jul 2023"
"23/00824/B","Installation of replacement front five windows Bayr Ny Loghan Cottage \n14 Lake Lane\nPeel\nIsle Of Man\nIM5 1AU","PEEL","26 Jul 2023"
"23/00848/B","Demolish existing conservatory, convert garage into living accommodation, construct new rear extension, alter access onto highway and widen existing car parking area in front garden The Haven\n21 Grammah Avenue\nPort Erin\nIsle Of Man\nIM9 6NP","PORT ERIN","26 Jul 2023"
"23/00800/B","Ground floor kitchen extension and new roof dormer Thornycroft\n8 Primrose Terrace\nPort St Mary\nIsle Of Man\nIM9 5AP\n","PORT ST MARY","25 Jul 2023"
"23/00839/B","Replace 24 rotting and ill-fitting wooden windows and front door with upvc versions. On the front of the house, windows will be bottom opening casements as the existing wooden windows being replaced. At the rear, wooden windows (some sash) will all be replaced with bottom or top opening casements that match previously installed upvc windows. Front door to be replaced with door and side-lights similar to nearby properties (existing top light to be retained) Forrester House\nThe Promenade\nPort St Mary\nIsle Of Man\nIM9 5DB\n","PORT ST MARY","26 Jul 2023"
"23/00797/C","Additional use of residential apartment for tourist use 103 St Pauls Apartments\nSt Pauls Square\nRamsey\nIsle Of Man\nIM8 1LE\n","RAMSEY","26 Jul 2023"
"23/00807/B","Installation of a flue (retrospective) 2 Ormly Avenue\nRamsey\nIsle Of Man\nIM8 3LF","RAMSEY","26 Jul 2023"
"23/00832/B","Conversion of ground and first floor units to create 2 additional apartments including alterations to external elevations including new windows, doors, render and stone cladding 3 West Quay\nRamsey\nIsle Of Man\nIM8 1DW","RAMSEY","20 Jul 2023"
"23/00813/B","Installation of a garage door to replace existing window to reinstate former garage Park View\nBallavartyn Road\nSanton\nIsle Of Man\nIM4 1HT","SANTON","20 Jul 2023"
