"Application Number","Details","Local Authority","Date"
"23/01131/B","Alterations to existing dwelling, together with removal of Conservatory to form Open shelter, installation of flue, and use of part of the dwelling as Ancillary Accommodation Regaby Beg\nRegaby West Road\nAndreas\nIsle Of Man\nIM7 3HL\n","ANDREAS","25 Sep 2023"
"23/01132/B","Removal of existing dining room window and installation of sliding patio door. 29 Ballalough Estate\nAndreas\nIsle Of Man\nIM7 4HU\n","ANDREAS","26 Sep 2023"
"23/01094/C","Apply for additional use to rear annex for tourist accommodation 9 Hope Street\nCastletown\nIsle Of Man\nIM9 1AS\n","CASTLETOWN","25 Sep 2023"
"23/01133/B","Existing single glazed timer units to be replaced with white uPVC thermally efficient double glazed units. Units to replicate units that have already been previously replaced Castle Rushen High School\nArbory Road\nCastletown\nIsle Of Man\nIM9 1RE\n","CASTLETOWN","26 Sep 2023"
"23/01001/B","Replacement of timber-framed door and windows with powder-coated aluminium laminated glass door and windows and upvc double glazed sash window 13 Church Street\nDouglas\nIsle Of Man\nIM1 2AG","DOUGLAS","21 Sep 2023"
"23/01061/B","Additional use of retail unit to include hot food takeaway (Use Classes 1.1 and1.4) and installation of extract flue Shop 8\nClinches Court\nDouglas\nIsle Of Man\nIM1 4LH\n","DOUGLAS","21 Sep 2023"
"23/01119/C","Change of use from Class 1.1 (Shops) to Class 4.4 (Assembly and Leisure). The business is a virtual reality games arena and arcade Unit 4\nStrand Shopping Centre\nDouglas\nIsle Of Man\nIM1 2ER\n","DOUGLAS","25 Sep 2023"
"23/01084/B","Conversion and extension of redundant Agricultural building to create new tourist accommodation Ballawyllin Farm\nPeel Road\nSt Johns\nIsle Of Man\nIM4 3NE\n","GERMAN","27 Sep 2023"
"23/00488/B","Conversion of an Existing Barn Structure (Block A) into Two Self-Catering Tourist Cottages (Class 3.6), Erection of Bat Barn, and Erection of Solar Array Berrag Farm\nSandygate\nRamsey\nIsle Of Man\nIM7 3BS\n","JURBY","26 May 2023"
"23/01114/B","Erection of a raised decked area and associated stairs, replacement of the existing front door. 64 Ard Reayrt\nLaxey\nIsle Of Man\nIM4 7QQ\n","LAXEY","26 Sep 2023"
"23/00959/B","Proposed raised patio, new external patio doors to replace existing window Strathallan Cliff House\nStrathallan Road\nOnchan\nIsle Of Man\nIM3 1NN\n","ONCHAN","25 Sep 2023"
"23/01135/D","Erection of noticeboard for church services and events St Peter\'s Church\nChurch Road\nOnchan\nIsle Of Man\nIM3 1BF\n","ONCHAN","27 Sep 2023"
"23/01117/D","Erection of interpretation board in field adjacent to Louisa House Field 333144\nLand Adjacent To Louisa House\nEast Foxdale Road\nFoxdale\nIsle Of Man\n\n","PATRICK","20 Sep 2023"
"23/01065/B","Erection of garden room 15 The Links\nPeel\nIsle Of Man\nIM5 1LP\n","PEEL","25 Sep 2023"
"23/01108/D","Erection of two non-illuminated signs Ballawattleworth House\nTynwald Road\nPeel\nIsle Of Man\nIM5 1JP\n","PEEL","25 Sep 2023"
"23/00066/B","Change of use from public house (use class 1.3) to create ten apartments (use class 3.4) while retaining original element of building, demolition of previous extensions and erection of new replacement extension. Britannia Hotel\nWaterloo Road\nRamsey\nIsle Of Man\nIM8 1DR","RAMSEY","30 Jan 2023"
"23/01128/D","Replacement of existing wooden notice board with an aluminium notice board St Pauls Church\nMarket Place West\nRamsey\nIsle Of Man\nIM8 1JJ\n","RAMSEY","25 Sep 2023"
"23/01090/B","Proposed Extension to East Elevation Meadowfield House\nCroit E Caley\nColby\nIsle Of Man\nIM9 4AW\n","RUSHEN","25 Sep 2023"
