"Application Number","Details","Local Authority","Date"
"23/00203/B","Conversion and extension of former mill to a dwelling, creation of access and closing off of existing access, installation of solar panels, reinforcement of bank around existing lake and associated drainage (retrospective) and landscaping Ballakindry Mill\nBallagawne Road\nBallabeg\nCastletown\nIsle Of Man\nIM9 4PD\n","ARBORY","8 Mar 2023"
"23/00256/B","Erection of a sunroom and replacement porch Ashville\nBallakilpheric Road\nColby\nIsle Of Man\nIM9 4BX","ARBORY","2 Mar 2023"
"23/00155/B","Installation of cladding to replace existing shingle on garage roof North Lodge\nCronkbourne\nDouglas\nIsle Of Man\nIM4 4QH\n","BRADDAN","8 Feb 2023"
"23/00238/B","External alterations including the replacement of existing wall cladding, roof cladding, windows and doors and new Render finish to external walls. Internal alterations including removal of the mezzanine floor Unit 23 & 25 \nSpring Valley Trading Estate\nBraddan\nIM2 2QT","BRADDAN","7 Mar 2023"
"23/00240/B","Installation of replacement front windows, front door, replace existing roof tiles with slate effect roof tiles and associated repair works, removal of a tree in the rear garden, erection of single story extension to the rear with white rendered walls and flat roof laid to sedum 22 Queen Street\nCastletown\nIsle Of Man\nIM9 1PA","CASTLETOWN","7 Mar 2023"
"23/00257/C","Change of use application for additional use as Tourist accommodation 23 Scarlett Road\nCastletown\nIsle Of Man\nIM9 1NS","CASTLETOWN","2 Mar 2023"
"22/01114/B","Demolition of existing three apartments on site and erection of six replacement dwellings Sea Court\nVictoria Road\nDouglas\nIsle Of Man\nIM2 6AQ","DOUGLAS","30 Sep 2022"
"22/01264/B","Construction of Douglas Promenade Wave Overtopping Wall Douglas Promenade And Loch Promenade \nAdjacent To Bottleneck Carpark\nDouglas\nIM1 2RF\n","DOUGLAS","7 Oct 2022"
"22/01428/A","Erection of detached dwelling to the rear of No. 11 Ballanard Road, New Dwelling to be serviced via Terance Avenue 11 Ballanard Road\nDouglas\nIsle Of Man\nIM2 5HP","DOUGLAS","1 Dec 2022"
"23/00231/B","Planning application for the replacement of windows and single set of double doors to front of building at ground level. 10 Victoria Street\nDouglas\nIsle Of Man\nIM1 2LH","DOUGLAS","3 Mar 2023"
"23/00232/B","Re-arrange accomodation at first and second floor levels to create 2 additional apartments, and demolish rear garage to improve maneuverability for car parking. 6 Somerset Road\nDouglas\nIsle Of Man\nIM2 5AD\n","DOUGLAS","2 Mar 2023"
"23/00233/CON","Registered Building consent for demolition elements to PA 23/00232/B Orbita\n6 Somerset Road\nDouglas\nIsle Of Man\nIM2 5AD\n","DOUGLAS","2 Mar 2023"
"23/00242/B","Erection of fencing (retrospective) Thorburn House (Formerly Hilvern) \n50, Bray Hill\nDouglas\nIM2 5BG","DOUGLAS","7 Mar 2023"
"23/00263/D","Erection of non illuminated signage Noa Bakery\nStreet Level\nPeveril Buildings\nPeveril Square\nDouglas\nIsle Of Man\nIM1 2BS\n","DOUGLAS","2 Mar 2023"
"23/00264/B","Remove chimney stack with associated works 51 Cronk Y Berry\nDouglas\nIsle Of Man\nIM2 6EU","DOUGLAS","2 Mar 2023"
"23/00265/B","Replace existing ground floor timber windows on Bridge Road elevation with uPVC windows The Railway\nBanks Circus\nDouglas\nIsle Of Man\nIM1 5AB","DOUGLAS","8 Mar 2023"
"23/00287/B","Temporary TT Accommodation and associated facilities for 2023 and 2024 only Former Prison Site\nVictoria Road\nDouglas\nIsle Of Man\n\n","DOUGLAS","7 Mar 2023"
"22/00879/B","Erection of fencing to side front garden (partial retrospective) Thornhill\nHighfield Drive\nBaldrine\nIsle Of Man\nIM4 6EE","GARFF","25 Jul 2022"
"23/00206/B","Proposed detached garden room / summer room Ballakneale\nRamsey Road\nLaxey\nIsle Of Man\nIM4 7PY","GARFF","8 Mar 2023"
"23/00225/B","Replacement storm damaged dormer roof and windows with a more robust dormer wall and roof structure. Pinfold House\nPinfold Hill\nLaxey\nIsle Of Man\nIM4 7HL","GARFF","2 Mar 2023"
"23/00228/B","Proposed alterations and remedial works, replacement windows, doors and roof and making good fa\xc3\xa7ade, creation of linking extension between the two existing buildings and change of use from commercial to residential and holiday let The Workshop\nVictoria Terrace \nGlen Road\nLaxey\nIsle Of Man\nIM4 7AJ","GARFF","7 Mar 2023"
"23/00230/CON","Registered Building consent for demolition elements to PA 23/00228/B The Workshop\nVictoria Terrace \nGlen Road\nLaxey\nIsle Of Man","GARFF","7 Mar 2023"
"23/00289/B","Installation of replacement windows and doors Whim Boutique\n1 - 2 Dumbells Terrace\nLaxey\nIsle Of Man\nIM4 7NY\n","GARFF","8 Mar 2023"
"22/01539/B","Installation of replacement windows to all elevations and removal of existing large windows to front elevation with smaller windows The Post Office House / Central Store\nStation Road\nSt Johns\nIsle Of Man\nIM4 3AH\n","GERMAN","21 Dec 2022"
"23/00227/B","Recladding of external walls with insulated render/ insulated cladding, continuing on where previous phases have finished. QEII High School\nDouglas Road\nPeel\nIsle Of Man\nIM5 1RD\n","GERMAN","3 Mar 2023"
"23/00243/B","Creation of two parking spaces and extension of access road Reayrt Mie Neighbourhood Centre, \nAdjacent To By-Pass Road,\nBallasalla\n\n","MALEW","7 Mar 2023"
"22/00475/B","Construction of 18 houses and associated infrastructure Crosby Meadows Estate \nPart Fields 320653, 324323, 324324, 324321 , 324318, 320649 & 324320\nBallaglonney\nMain Road\nCrosby\nIM4 2EE\n\n","MAROWN","27 Apr 2022"
"22/01148/B","To widen an existing vehicle entrance and associated works. Fields 321756, 321755 & 321758 \nBraaid Road\nBraaid\nIsle Of Man\n\n","MAROWN","23 Sep 2022"
"23/00241/B","Proposed renovation work including extending flat roof to cover Courtyard, provision of a balcony and feature window to master bedroom, new window and corner doors to family room Garey Glass\nMain Road\nCrosby\nIsle Of Man\nIM4 2DP","MAROWN","8 Mar 2023"
"23/00224/B","Partial conversion of garage into living accommodation, widening of window aperture. Marrinagh\nBallajora Hill\nBallajora\nRamsey\nIsle Of Man\nIM7 1AZ","MAUGHOLD","6 Mar 2023"
"22/00789/B","\nErection of 8 moveable camping pods, 7 cabins, barbecue area, bollard lighting, 2 canvas yurts, car parking area, drainage channels (part retrospective), extension to the facilities building and erection of 2 sheds and extension of the camping period for the five cabins on the upper section until the end of December in any year Glen Wyllin Camp Site\nGlen Wyllin\nKirk Michael\nIsle Of Man\nIM6 1AL\n","MICHAEL","7 Jul 2022"
"23/00184/B","Refurbishment works to include; demolition of chimney stacks, installation of photo-voltaic panels, replacement roofs and associated pipework. Installation of insulated render and replacement cladding, windows and doors. Creation of additional parking and associated highway works 2-84 Barrule Drive (Even No.S) \n11-21A Ballachrink Drive (Odd No.S)\nOnchan\nIsle Of Man","ONCHAN","8 Mar 2023"
"23/00222/B","Installation of water attenuation pond for irrigation purposes and erection of a pump house with associated hardstanding at Upper Sulby Farm Field 531018\nUpper Sulby Farm \nScollag Road\nOnchan\nIM4 5BT\nIM4 5BT\n","ONCHAN","2 Mar 2023"
