"Application Number","Details","Local Authority","Date"
"23/00201/B","Alter Fire Exit and Hangar Doors approved under PA 20/01238/B and 22/00046/B, addition of two Grille Vents to external walls, demolish existing rendered wall, installation of an external air handing unit and create close board timber fence compound (retrospective) Manx Museum\nKingswood Grove\nDouglas\nIsle Of Man\nIM1 3LY\n","DOUGLAS","27 Feb 2023"
"23/01316/B","Material change of conservatory roof to solid roof. 3 Alexander Drive\nDouglas\nIsle Of Man\nIM2 3QD\n","DOUGLAS","11 Dec 2023"
"23/01392/B","Erection of 2 storey extension to the existing property. 28 Hampton Farm\nNew Castletown Road\nDouglas\nIsle Of Man\nIM2 2DN\n","DOUGLAS","8 Dec 2023"
"23/01421/B","Replacement of existing single glazed windows to improve thermal performance. Reinstatement of existing window opening (south elevation). Remove existing door and install new window (corner of Lord Street and Heywood Place) Armitage House\nLord Street\nDouglas\nIsle Of Man\nIM1 1LS\n","DOUGLAS","13 Dec 2023"
"23/01450/B","Propose a new shop front that reduces the shop front recess Unit 1A\nStrand Shopping Centre\nDouglas\nIsle Of Man\nIM1 2ER\n","DOUGLAS","13 Dec 2023"
"23/01451/D","Installation of new shop front banner and illuminated signage Unit 1A\nStrand Shopping Centre\nDouglas\nIsle Of Man\nIM1 2ER\n","DOUGLAS","13 Dec 2023"
"23/01469/B","Installation of eight replacement windows 10 Queens Terrace\nDouglas\nIsle Of Man\nIM1 4BZ\n","DOUGLAS","13 Dec 2023"
"23/00966/B","Removal of existing garage and erection of extension together with a garden shed Slieu Ruy\nHighfield Drive\nBaldrine\nIsle Of Man\nIM4 6EE","GARFF","15 Aug 2023"
"23/01409/B","Demolish existing single storey rear extension, and replace with larger footprint, two storey extension. Front porch extension. Remove part of front boundary wall to create new driveway and extend existing dropped kerb. Lily Cot\nQueens Terrace\nLaxey\nIsle Of Man\nIM4 7HE\n","GARFF","7 Dec 2023"
"23/01387/B","Demolition of toilet extension, erection of new extension and renovation of the main house. Greeba Towers\nMain Road\nGreeba\nIsle Of Man\nIM4 2DS\n","GERMAN","7 Dec 2023"
"23/01398/C","Additional use of 6 to 8 car parking spaces for sale of camper vans and motorhomes. Tynwald Hill Inn\nMain Road\nSt Johns\nIsle Of Man\nIM4 3NA\n","GERMAN","7 Dec 2023"
"23/01377/C","Additional use application to change part of existing cafe into tourist accommodation The Trail Lodge \nSilverdale Glen\nBallasalla\nIM9 3DS\n","MALEW","7 Dec 2023"
"23/01380/B","Proposed development comprising the erection of a log cabin to be used as a gardeners cabin, machinery store and workshop (retrospective) exclusively for the management of the gardens and land forming part of the dwelling. Clough Willey Cottage\nTosaby Road\nSt Marks\nBallasalla\nIsle Of Man\nIM9 3AN\n","MALEW","7 Dec 2023"
"23/01402/B","Erection of 3 no. detached dwellings on site of 3 no. detached dwellings approved under PA19/00137/B 8, 9 And 18 Ballahick Way\nReayrt Mie\nBallasalla\nIsle Of Man\nIM9 2BH\n","MALEW","8 Dec 2023"
"23/01417/B","Demolish and replace existing dwelling, install photovoltaic panels, and landscape and re-wild adjacent land Part Field 435254 & Curlew Cottage\nScarlett\nCastletown\nIsle Of Man\nIM9 1TB","MALEW","13 Dec 2023"
"23/01440/B","Alterations and erection of single storey extensions to replace existing garage and conservatory 29 Silverburn Drive\nBallasalla\nIsle Of Man\nIM9 2EF\n","MALEW","13 Dec 2023"
"23/01389/B","Single Storey Rear Extension To Part Replace Existing And New Driveway 14 Auburn Road\nOnchan\nIsle Of Man\nIM3 1LW\n","ONCHAN","6 Dec 2023"
"23/01419/B","Extension to existing dormer 30 Derwent Drive\nOnchan\nIsle Of Man\nIM3 2DE\n","ONCHAN","13 Dec 2023"
"23/01435/B","Replacement of windows and front door, installation of roof light (retrospective) 12 Orry Lane\nPeel\nIsle Of Man\nIM5 1NN\n","PEEL","7 Dec 2023"
"23/01452/B","Creation of two light industrial units, creation of car parking, widening of entrance and landscaping Land Off Stanley Mount\nStanley Road\nPeel\nIsle Of Man\nIM5 1NY\n","PEEL","8 Dec 2023"
