"Application Number","Details","Local Authority","Date"
"23/00075/B","Erection of side Extension to provide ground floor additional living space (as an annex) with first floor storage 25 Clybane Rise\nDouglas\nIsle Of Man\nIM2 2LY","BRADDAN","22 Feb 2023"
"23/00121/D","Replacement of existing non-illuminated signage with new led illuminated signage at site entrance Greenhill Data Centre\nIsle Of Man Business Park\nDouglas\nIsle Of Man\nIM2 2QZ","BRADDAN","20 Feb 2023"
"22/01440/B","Modification of existing vehicle access Old House - Reef House \nCollege Green\nCastletown\nIM9 1BE","CASTLETOWN","1 Dec 2022"
"23/00046/B","Permission to erect a circus marquee in Noble\'s Park for a two week period between 1st March and the 30th April Site Adjacent To Grandstand / Mike Hailwood Centre\nNobles Park\nGlencrutchery Road\nDouglas\nIsle Of Man\nIM2 6DA\n","DOUGLAS","21 Feb 2023"
"23/00159/B","Replace existing windows and doors with white uPVC 1 Roslyn Terrace\nDouglas\nIsle Of Man\nIM2 5DE","DOUGLAS","20 Feb 2023"
"23/00160/B","Installation a flower art installation on the East side of the Church tower St Thomas Church\nChurch Road Marina / Finch Road\nDouglas\nIsle Of Man\nIM1 2HQ\n","DOUGLAS","22 Feb 2023"
"23/00214/B","Installation of replacement window to front elevation dormer Cranford\n116 Woodbourne Road\nDouglas\nIsle Of Man\nIM2 3BA","DOUGLAS","22 Feb 2023"
"23/00157/B","Temporary Change of Use for siting of a static caravan Ballaoates Farm\nBallavagher Road\nSt Johns\nIsle Of Man\nIM4 3JE","GERMAN","21 Feb 2023"
"22/00922/B","Restoration of quarry by infill Billown Quarry\nFoxdale Road\nBallasalla\nIsle Of Man\n\n","MALEW","15 Sep 2022"
"23/00126/C","Use of Field 534492 for camping purposes (retrospective) Field Number 534492 \nGlen Dhoo\nHillberry\nOnchan\nIM4 5BJ","ONCHAN","21 Feb 2023"
"23/00161/B","Installation of two Air Source Heat Pumps 82 King Edward Road\nOnchan\nIsle Of Man\nIM3 2AU","ONCHAN","21 Feb 2023"
"23/00163/B","Installation of flue (retrospective) 74 Royal Avenue\nOnchan\nIsle Of Man\nIM3 1LB","ONCHAN","22 Feb 2023"
"23/00057/CON","Registered Building consent for demolition elements to PA 23/00061/B 50 Glenfaba Road\nPeel\nIsle Of Man\nIM5 1BX","PEEL","21 Feb 2023"
"23/00061/B","Removal of the rear chimney stack 50 Glenfaba Road\nPeel\nIsle Of Man\nIM5 1BX","PEEL","21 Feb 2023"
"23/00093/B","Alteration and erection of extension to existing facility West Coast Fitness\nClose Beg\nBallawattleworth\nPeel\nIsle Of Man\n\n","PEEL","21 Feb 2023"
"23/00153/B","Installation of Air Source Heat Pump 10 Ramsey Road\nPeel\nIsle Of Man\nIM5 1UB","PEEL","21 Feb 2023"
"23/00215/B","Installation of replacement windows and door to rear elevation 68 Patrick Street\nPeel\nIsle Of Man\nIM5 1BS","PEEL","22 Feb 2023"
"23/00213/B","Installation of replacement windows to front and rear elevations and replacement front door 9 Lime Street\nPort St Mary\nIsle Of Man\nIM9 5ED\n","PORT ST MARY","22 Feb 2023"
"23/00002/REM","Reserved Matters application to PA 20/01386/A for the erection of a detached single storey dwelling Land Adjacent To\nFasque\nAndreas Road\nRamsey\nIsle Of Man\n\n","RAMSEY","16 Jan 2023"
"23/00212/B","Installation of replacement roof slates Public Conveniences\nQueens Pier Road\nRamsey\nIsle Of Man\nIM8 2HS\n","RAMSEY","22 Feb 2023"
"23/00216/GB","Installation of a replacement window to the rear of the Church (in the vestry) (in association with PA 23/00217/CON) St Pauls Church\nMarket Place West\nRamsey\nIsle Of Man\nIM8 1JJ\n","RAMSEY","22 Feb 2023"
"23/00217/CON","Registered Building consent for the installation of a replacement window to the rear of the Church (in the vestry) (in association with PA 23/00216/GB) RB No. 84 St Pauls Church\nMarket Place West\nRamsey\nIsle Of Man\nIM8 1JJ\n","RAMSEY","22 Feb 2023"
"23/00132/B","Erection of replacement conservatory Burnbrae House\nBallakilpheric\nColby\nIsle Of Man\nIM9 4BT\n","RUSHEN","22 Feb 2023"
"23/00209/B","Installation of window protectors St Peters Church\nCregneash\nIsle Of Man\nIM9 5PT\n","RUSHEN","21 Feb 2023"
