"Application Number","Details","Local Authority","Date"
"23/01099/C","Change of use of room into clinic to provide beauty treatments Round Table House\nRonague\nCastletown\nIsle Of Man\nIM9 4HJ\n","ARBORY","10 Oct 2023"
"23/01161/B","Proposed renovation of existing Garden Store including replacement window and new rooflight Crofton\nThe Crofts\nCastletown\nIsle Of Man\nIM9 1LW\n","CASTLETOWN","9 Oct 2023"
"23/01162/CON","Registered Building consent for installation of replacement window and new roof light to garden store - RB 261 Crofton\nThe Crofts\nCastletown\nIsle Of Man\nIM9 1LW\n","CASTLETOWN","9 Oct 2023"
"23/00655/B","Conversion of dwelling into three apartments, installation of rooflight and new render to all elevations 18 Selborne Drive\nDouglas\nIsle Of Man\nIM2 3LP","DOUGLAS","2 Jun 2023"
"23/01039/B","Proposed Mixed-Use Development incorporating a casino, offices, 25 residential apartments and car parking Site Bounded By Victoria Street, Lord Street And\nWalpole Avenue\nDouglas\nIsle Of Man IM1 2LT\n\n","DOUGLAS","5 Oct 2023"
"23/01106/B","Replacement of wood-framed roof light with aluminium-framed roof light fitted with thermic glass (variation of conditions 4 and 5 to application 13/91526/B) Belmont\nBelmont Road\nDouglas\nIsle Of Man\nIM1 4NS\n","DOUGLAS","9 Oct 2023"
"23/01124/B","Replace existing rear conservatory with sun lounge 44 Ballakermeen Drive\nDouglas\nIsle Of Man\nIM1 4HS\n","DOUGLAS","5 Oct 2023"
"23/01136/B","Conversion and erection of extension to existing offices to provide residential accommodation and additional use for tourist accommodation / long term lets, and improvements to parking apron 6 Kingswood Grove\nDouglas\nIsle Of Man\nIM1 3LX\n","DOUGLAS","9 Oct 2023"
"23/01137/CON","Registered Building consent for demolition elements to PA 23/01136/B 6 Kingswood Grove\nDouglas\nIsle Of Man\nIM1 3LX\n","DOUGLAS","9 Oct 2023"
"23/01158/B","Conversion of commercial warehouse to create two residential apartments Canberra House \n13 Princes Street\nDouglas\nIM1 1BB\n\n\n","DOUGLAS","10 Oct 2023"
"23/01174/B","Installation of replacement front door and top glazing panel 27 Hildesley Road\nDouglas\nIsle Of Man\nIM2 5AX\n","DOUGLAS","5 Oct 2023"
