"Application Number","Details","Local Authority","Date"
"23/00544/B","Enlarging of existing porch to front elevation 11 River Walk\nBraddan\nDouglas\nIsle Of Man\nIM4 4TJ","BRADDAN","17 May 2023"
"23/00565/B","Change of use from workshop and storage with associated facilities to storage and distribution with associated facilities, installation of sectional doorset to south east elevation Unit 2\nPeel Road Industrial Estate\nBraddan\nDouglas\nIsle Of Man\nIM4 4LF\n","BRADDAN","16 May 2023"
"23/00597/B","Siting of recycle unit Unit 9\nKirby Farm Industrial Estate\nVicarage Road\nDouglas\nIsle Of Man\nIM4 4LA\n","BRADDAN","12 May 2023"
"23/00601/D","Erection of two digital advertising screens Car Park And Park House\nIsle Of Man Business Park\nDouglas\nIsle Of Man\nIM2 2QZ\n","BRADDAN","17 May 2023"
"23/00608/B","Replacement of existing conservatory with a single storey extension 11 The Church View\nBraddan\nDouglas\nIsle Of Man\nIM4 4TF\n","BRADDAN","15 May 2023"
"23/00609/C","Change of use application for additional use of club and fields for tourist accommodation during TT fortnight and Manx Grand Prix practice and race period. Union Mills Football Club\nBallaoates Road\nStrang\nDouglas\nIsle Of Man\nIM4 4TE\n","BRADDAN","15 May 2023"
"23/00468/B","Construct a tennis court in the garden North West side of the house; Construct a soakaway in the south garden Lorne House\nDouglas Street\nCastletown\nIsle Of Man\nIM9 1AZ\n","CASTLETOWN","24 Apr 2023"
"23/00566/B","Installation of part replacement windows to front elevation and replacement of windows to rear elevation including two side windows to rear outrider Croft House\nThe Crofts\nCastletown\nIsle Of Man\nIM9 1LY","CASTLETOWN","17 May 2023"
"23/00576/B","Replace existing Fossil fuelled Boiler with an Air Source Heat Pump Thie Corneil\nBayr Grianagh\nCastletown\nIsle Of Man\nIM9 1HL\n","CASTLETOWN","17 May 2023"
"23/00178/B","Erection of single storey rear extension and extension to terrace 22 Reayrt Carnane\nDouglas\nIsle Of Man\nIM2 5LN","DOUGLAS","1 Mar 2023"
"23/00426/B","The alteration to the approved, proposed dwelling (in application 16/00798/B) including enlargement of the garages, relocation and enlargement of the rear annexes, the addition of roof lights, drainage discharge positions, rear windows positions and sizes Shee-Dy-Vea\nBallanard Road\nDouglas\nIsle Of Man\nIM2 5PT","DOUGLAS","17 May 2023"
"23/00473/B","Creation of new parking area and access 47 Ballakermeen Drive\nDouglas\nIsle Of Man\nIM1 4HT","DOUGLAS","12 May 2023"
"23/00530/D","Erection of non-illuminated acrylic graphics with black vinyl Unit 5 \nVilla Marina Arcade\nDouglas\nIsle Of Man\nIM1 2HP\n","DOUGLAS","17 May 2023"
"23/00533/B","Removal of existing canopy and replace with front porch extension 10 Hillcroft Rise\nDouglas\nIsle Of Man\nIM2 7EE\n","DOUGLAS","15 May 2023"
"23/00585/B","Replacement of existing front, side and back windows with UPVC sliding sash windows, Black External and White internal finish Second Floor Flat\n8 Hawarden Avenue\nDouglas\nIsle Of Man\nIM1 4BY\n","DOUGLAS","17 May 2023"
"23/00596/B","Erection of replacement perimeter fence (Retrospective) Glenville\nBray Hill\nDouglas\nIsle Of Man\nIM2 5BG","DOUGLAS","12 May 2023"
"23/00599/B","Erection of first floor side extension (above existing garage), change garage door to window and erection of single storey rear extension 25 Mountain View\nDouglas\nIsle Of Man\nIM2 5HX","DOUGLAS","17 May 2023"
"23/00612/C","Additional use of residential ground floor room as a beauty salon Ballacosney House\nBaldhoon Road\nLaxey\nIsle Of Man\nIM4 7QH\n","GARFF","15 May 2023"
"23/00518/B","Erection of two polytunnels and extension of two existing polytunnels Watsons Nurseries\nMain Road\nGreeba\nIsle Of Man\nIM4 3LG\n","GERMAN","12 May 2023"
"23/00569/REM","Reserved Matters Application for plots 1 and 3 (in relation to 20/00787/B) Field No. 314758 And 312909 \nBalladoyne\nSt Johns\nIsle Of Man\nIM4 3LX\n","GERMAN","15 May 2023"
