"Application Number","Details","Local Authority","Date"
"23/01082/B","Installation of two smaller windows instead of one larger window to Courtyard East Elevation Brough Jairg Barn\nMain Road\nBallaugh\nIsle Of Man\nIM7 5EX\n","BALLAUGH","20 Sep 2023"
"23/01051/B","Conversion of rear section of garage to create en-suite facilities for bedroom; construction of single storey extension to rear 1 Cronk Drine\nUnion Mills\nIsle Of Man\nIM4 4NG\n","BRADDAN","14 Sep 2023"
"23/01063/B","Conversion of existing stables to tourist accommodation with associated storage room Rose Hill Farm\nRichmond Hill\nDouglas\nIsle Of Man\nIM4 1JG\n","BRADDAN","19 Sep 2023"
"23/01072/B","Erection of proposed detached replacement workshop building Unit 36\nSnugborough Trading Estate\nUnion Mills\nIsle Of Man\nIM4 4QL\n","BRADDAN","14 Sep 2023"
"23/01096/B","Erection of raised decking (retrospective) 8 Coronation Terrace\nStrang\nDouglas\nIsle Of Man\nIM4 4TA\n","BRADDAN","19 Sep 2023"
"23/01038/B","Landscaping of the former quarry works area to provide an information point, seating and viewing area Manx Birdlife Point Of Ayre Reserve\nCranstal Road\nBride\nIsle Of Man\nIM7 4BS\n","BRIDE","19 Sep 2023"
"23/01041/B","Erection of proposed extensions to existing agricultural barn Field 114121\nWest Kimmeragh Road\nBride\nIsle Of Man\n\n","BRIDE","20 Sep 2023"
"23/01077/B","Construction of a single detached dwelling with associated car parking and external space Vacant Plot (formerly Fern Lea)\nLand South Of Ballakilley Cottage & 1 Ballakilley Close\nBallakilley Hill\nBride\nIsle Of Man\nIM7 4AT\n","BRIDE","20 Sep 2023"
"23/00654/B","Erection of single storey side extension, Loft conversion, associated external remodelling and landscaping 15 Third Avenue\nDouglas\nIsle Of Man\nIM2 6AL","DOUGLAS","1 Jun 2023"
"23/01066/B","Construction of two new houses to replace existing single house Leyton\nVictoria Road\nDouglas\nIsle Of Man\nIM2 6AQ\n","DOUGLAS","15 Sep 2023"
"23/01073/CON","Erection of rear extensions at ground and first floor levels and associated internal alterations - RB 234 (in association with application 23/01074/GB) Farm Hill Manor\nFarmhill Lane\nDouglas\nIsle Of Man\nIM2 2EF\n","DOUGLAS","15 Sep 2023"
"23/01074/GB","Erection of rear extensions at ground and first floor levels (in association with RB application 23/01073/CON) Farm Hill Manor\nFarmhill Lane\nDouglas\nIsle Of Man\nIM2 2EF\n","DOUGLAS","15 Sep 2023"
"23/01081/B","Installation of replacement windows and installation of two roof lights 97 Woodbourne Road\nDouglas\nIsle Of Man\nIM1 3AW\n","DOUGLAS","19 Sep 2023"
"23/01087/B","Erection of an extension and shed 1A Cherry Walk\nDouglas\nIsle Of Man\nIM2 5NS\n","DOUGLAS","14 Sep 2023"
"23/01092/B","Replacement of existing 10m high lighting system (4 units) with four 8m units Bowling Green\nVilla Marina Gardens\nDouglas\nIsle Of Man\nIM2 3EU\n","DOUGLAS","14 Sep 2023"
"23/01093/B","Replace existing timber dormer windows with double-glazed white uPVC windows Annandale\n12 Stanley View\nDouglas\nIsle Of Man\nIM2 3JA\n","DOUGLAS","14 Sep 2023"
"23/01097/B","Erection of a two bedroom bungalow with associated landscaping and car parking facilities East Of 15\nTerence Avenue\nDouglas\nIsle Of Man\nIM2 5BN\n","DOUGLAS","20 Sep 2023"
"23/01104/B","Proposed installation of roof lights to the front and rear roof slope of dwelling. 14 Somerset Road\nDouglas\nIsle Of Man\nIM2 5AD\n","DOUGLAS","20 Sep 2023"
"23/00388/B","Construction of seven detached houses and associated infrastructure Fields 612727 & 612728\nBaldrine Farm\nBaldrine Road\nBaldrine\n\n\n\n","GARFF","5 Apr 2023"
"23/01045/B","Proposed alterations and extension to dwelling to provide replacement garage and additional living accommodation, together with erection of a detached garden room building to rear garden Ben Veg\nThe Colony\nPort Lewaigue\nRamsey\nIsle Of Man\nIM7 1AL","GARFF","20 Sep 2023"
"23/01089/B","Erection of single storey extension to South West Elevation Ballaskerroo Mill\nBallagawne Road\nBaldrine\nIsle Of Man\nIM4 6EL\n","GARFF","20 Sep 2023"
"23/01046/B","Installation of replacement porch and erection of rear extension. Alterations to rear windows and doors. Alterations to vehicular entrance. Cronk Dhoo\nCrossag Road\nBallasalla\nIsle Of Man\nIM9 3EF\n","MALEW","20 Sep 2023"
"23/01080/B","Erection of two single storey extensions Swallows Rest \nBayrauyr Road\nSt Marks\nIM9 3AT","MALEW","19 Sep 2023"
"23/01086/C","Change of use of an existing ground floor storeroom to a dog grooming facility Little Ballakewin\nFoxdale Road\nBallasalla\nIsle Of Man\nIM9 3ET\n","MALEW","14 Sep 2023"
"23/01071/B","Alteration to first floor windows to form sliding doors 5 Port Jack\nOnchan\nIsle Of Man\nIM3 1ED\n","ONCHAN","14 Sep 2023"
"23/00962/B","Alterations to existing property including removal of rear utility, alterations and re-roofing of existing rear extension, changes to front doors and rear windows, installation of roof lights, installation of side gate and installation of replacement windows 8-10 Bridge Street\nPeel\nIsle Of Man\nIM5 1NB","PEEL","15 Sep 2023"
"23/00993/CON","Demolition of rear annexe, utility and part of rear wall (works relating to 23/00962/B for alterations and extensions to main house) 8-10 Bridge Street\nPeel\nIsle Of Man\nIM5 1NB","PEEL","15 Sep 2023"
"23/01068/C","Change of Use from Offices to 4 no Residential Flats Offices\nRectory Court\nSt Pauls Square\nRamsey\nIsle Of Man\nIM8 1LB\n","RAMSEY","19 Sep 2023"
"23/01070/B","Conversion of garage into bedroom with creation of new single storey store 70 Greenlands Avenue\nRamsey\nIsle Of Man\nIM8 2PH\n","RAMSEY","14 Sep 2023"
