"Application Number","Details","Local Authority","Date"
"23/01420/B","Widening of driveway and vehicular access Hillside\nStrang Road\nUnion Mills\nIsle Of Man\nIM4 4NW\n","BRADDAN","4 Dec 2023"
"23/01399/B","Insertion of new sliding door on the rear garden elevation of the cottage and a new larger rear first floor bedroom window overlooking the garden Mill Cottage\nGolden Meadow\nMill Road\nCastletown\nIsle Of Man\nIM9 1TF\n","CASTLETOWN","5 Dec 2023"
"23/01324/B","Demolition of conservatory and side lean-to with new single storey side and rear extension with dormer roof window. 15 Victoria Road\nDouglas\nIsle Of Man\nIM2 4HF\n","DOUGLAS","4 Dec 2023"
"23/01378/B","A new shop front that reduces the shop front recess. 83 Strand Street\nDouglas\nIsle Of Man\nIM1 2EN\n","DOUGLAS","4 Dec 2023"
"23/01379/D","New shop front signage and glass manifestations for Leonidas Belgian chocolatiers. 700x700mm wall-mounted double-sided projecting shop-front sign, and a large vinyl shop-front banner to be purpose-made. Wall space indicated in accompanying shop-front elevation drawings. 83 Strand Street\nDouglas\nIsle Of Man\nIM1 2EN\n","DOUGLAS","4 Dec 2023"
"23/01391/B","Replacement of existing single pane, timber frame with upvc double glazing Dorian\n33 Albany Road\nDouglas\nIsle Of Man\nIM2 3NE\n","DOUGLAS","1 Dec 2023"
"23/01404/B","Replacement of existing timber window with new uPVC window 30 Selborne Drive\nDouglas\nIsle Of Man\nIM2 3NH\n","DOUGLAS","4 Dec 2023"
"23/01388/B","Installation of Pagoda, PV Panels and Air Source Heat Pumps Glevum\nThe Promenade\nLaxey\nIsle Of Man\nIM4 7DF\n","GARFF","5 Dec 2023"
"23/01396/B","Using cut and fill methods to make level areas for horticultural activities, and to install land drains and soakaway (Retrospective) Field 616147\nBallamenagh Road\nBaldrine\nIsle Of Man\n\n","GARFF","5 Dec 2023"
"23/01411/B","Single storey extension to rear elevation in conjunction with replacement roof to single storey cottage. Removal of chimney stack. Linwood Cottage\nBallabeg\nLaxey\nIsle Of Man\nIM4 7HB\n","GARFF","6 Dec 2023"
"22/01112/B","Construction of 7 bungalows and 5 garages, including vehicular access Land Adjacent To\nGinger Hall Hotel\nBallamanagh Road\nSulby\nIsle Of Man\n\n","LEZAYRE","13 Sep 2022"
"23/00239/B","A purpose built medicinal cannabis production facility and headquarters building for Grow Lab Organics Land To West Of The Rlc Building \nRonaldsway Business Park\nBallasalla\nIsle Of Man\nIM9 2RY\n","MALEW","16 Mar 2023"
"23/01383/B","Erection of a detached garage and car port and extension to curtilage (retrospective) Edd Beg\nKerrowkeil Road\nGrenaby\nBallasalla\nIsle Of Man\nIM9 3BB\n","MALEW","4 Dec 2023"
"23/01384/B","Erection of detached greenhouse, shed and raised beds (retrospective) Field 430886\nEdd Beg \nKerrowkeil Road\nGrenaby\nMalew\nIM9 3BB","MALEW","4 Dec 2023"
"23/01397/B","Two storey extension to provide additional living accommodation and creation of new detached double garage. Ballakewin Old Farmhouse\nFoxdale Road\nBallasalla\nIsle Of Man\nIM9 3ET\n","MALEW","4 Dec 2023"
"23/00124/B","Erection of double storey side extension, enlarging existing rear raised patio area, alterations to existing conservatory finish and extension of driveway. White Oaks\n54 King Edward Road\nOnchan\nIsle Of Man\nIM3 2AT","ONCHAN","28 Feb 2023"
"23/01368/B","Installation of flue for woodburning stove. 23 Hillcrest Grove\nOnchan\nIsle Of Man\nIM3 3HZ\n","ONCHAN","4 Dec 2023"
"23/01325/B","Increase in footprint of approved application 22/00501/B - extensions and change of use of fisherman\'s hut to tourism Lakeside\nPatrick Road\nSt Johns\nIsle Of Man\nIM4 3BP\n","PATRICK","5 Dec 2023"
"23/01394/B","Remodelling of the single storey kitchen and outside toilet to form a kitchen, cloakroom and utility area 3 St Peters Lane\nPeel\nIsle Of Man\nIM5 1AP\n","PEEL","5 Dec 2023"
"23/01395/CON","Demolition of outside toilet to incorporate kitchen & toilet extension. 3 St Peters Lane\nPeel\nIsle Of Man\nIM5 1AP\n","PEEL","7 Dec 2023"
"23/01410/B","Demolish rear existing single skin shed and replace with family room extension Toronto Vale\nTynwald Road\nPeel\nIsle Of Man\nIM5 1JL\n","PEEL","6 Dec 2023"
"23/01408/B","Reduce the size of two exterior windows on the southern elevation of the property to accommodate the placement of a new internal partition wall. Ports Of Call\nBay View Road\nPort St Mary\nIsle Of Man\nIM9 5AE\n","PORT ST MARY","6 Dec 2023"
