"Application Number","Details","Local Authority","Date"
"23/00434/B","Demolition of an existing PVC Conservatory and erection of a new sunroom in its existing location, creation of hand landscaping with a continuation of garden walls paved areas, and steps Ballacomaish\nKiondroghad Road\nAndreas\nIsle Of Man\nIM7 3EJ","ANDREAS","2 May 2023"
"23/00487/B","Erection of a garage within the front garden 2 Cooil Veg\nAndreas\nIsle Of Man\nIM7 4EU","ANDREAS","27 Apr 2023"
"23/00553/B","Erection of rear extension 11 Croit Ny Kenzie\nAndreas\nIsle Of Man\nIM7 4FA\n","ANDREAS","3 May 2023"
"23/00549/C","Change of use from Class 2.2 Light Industrial to Class 2.4 Storage or Distribution with office accommodation (retrospective) Unit 7 & 8\nCronkbourne Business Park\nBallafletcher Farm Road\nBraddan\nDouglas\nIsle Of Man\nIM4 4QE\n","BRADDAN","3 May 2023"
"23/00551/B","Erection of garage extension Grand View\nBride Road\nBride\nIsle Of Man\nIM7 4AD\n","BRIDE","3 May 2023"
"23/00484/B","Alterations and erection of new dwelling within the grounds of ""Rosecroft"" Rosecroft\nShore Road\nCastletown\nIsle Of Man\nIM9 1BF","CASTLETOWN","2 May 2023"
"23/00492/B","Like for like replacement of the existing aluminium windows 11 - 13 Hill Street\nDouglas\nIsle Of Man\nIM1 1EF","DOUGLAS","2 May 2023"
"23/00548/B","Installation of replacement windows to front and rear elevations and replacement rear door 7 Roslyn Terrace\nDouglas\nIsle Of Man\nIM2 5DE","DOUGLAS","3 May 2023"
"23/00500/B","Variation of Condition 3 of PA 21/00576/B erection of a replacement dwelling with integral garage Waverley\nQuarry Road\nLaxey\nIsle Of Man\nIM4 7DU","GARFF","3 May 2023"
"23/00510/B","Erection of open sided timber pavilion Elfin Glen And Claghbane Woods\nMountain Road\nRamsey\nIsle Of Man\n\n","GARFF","26 Apr 2023"
"22/01540/B","Creation of new vehicular access to northern end of Field 134001 Field 134001\nBride Road\nRamsey\nIsle Of Man\n\n","LEZAYRE","4 Jan 2023"
"23/00502/B","Ground floor window alterations with removal of porch Lower Glentramman Farm\nGarey Road\nGarey\nRamsey\nIsle Of Man\nIM7 2AP\n","LEZAYRE","3 May 2023"
"22/01207/B","Erection of a steel framed equestrian stable Field 434968\nGrenaby Road\nBallasalla\nIsle Of Man\nIM9 3DP\n","MALEW","13 Oct 2022"
"23/00335/A","Approval in principle for the erection of a four-bedroom bungalow and hardstand for garage/car port addressing siting, drainage and means of access Field 431163\nBallamodha Straight\nBallasalla\nIsle Of Man\nIM9 3EL\n","MALEW","6 Apr 2023"
"23/00481/B","Erection of replacement single storey side extension Greensleeves\nDouglas Road\nKirk Michael\nIsle Of Man\nIM6 1AT","MICHAEL","2 May 2023"
"23/00552/B","Installation of upvc cladding to part of South facing gable wall 4 Market Place East\nRamsey\nIsle Of Man\nIM8 1JY","RAMSEY","3 May 2023"
"23/00543/B","Erection of an animal field shelter Field 414502\nSloc Road\nEarystane\nColby\nIsle Of Man\n\n","RUSHEN","2 May 2023"
"23/00547/B","Erection of rear first floor bathroom extension and replace existing double roman concrete roof tiles with plain concrete roof tiles Lindisfarne\nThe Level\nColby\nIsle Of Man\nIM9 4AL","RUSHEN","3 May 2023"
