"Application Number","Details","Local Authority","Date"
"23/01263/B","Alterations to window and door apertures to side and rear elevations Fo Ghlion\n15 Ballachrink\nColby\nIsle Of Man\nIM9 4PB\n","ARBORY","3 Nov 2023"
"23/01270/B","Erection of double storey south extension, entrance porch to east elevation, single storey extension to north elevation and single storey sunroom to west elevation The Garelly\nEarystane\nColby\nIsle Of Man\nIM9 4HN\n","ARBORY","6 Nov 2023"
"23/01279/B","Single storey extension to rear of the property, alterations to the front of the property to include new upvc windows and construction of a trailer/bike store. Cronkbourne\nThe Level\nColby\nIsle Of Man\nIM9 4AF\n","ARBORY","6 Nov 2023"
"23/01285/B","Erection of proposed detached dwelling on vacant building plot Field 224255\nStation Road\nBallaugh\nIsle Of Man\n\n","BALLAUGH","7 Nov 2023"
"23/01261/GB","Replacement of Conservatory at rear of property (in association with RB application 23/01262/CON) Crofton\nThe Crofts\nCastletown\nIsle Of Man\nIM9 1LW\n","CASTLETOWN","3 Nov 2023"
"23/01262/CON","Registered building consent for replacement of conservatory at rear of property - RB261 (in association with PA 23/01261/GB) Crofton\nThe Crofts\nCastletown\nIsle Of Man\nIM9 1LW\n","CASTLETOWN","3 Nov 2023"
"23/00352/B","Installation of a pitched roof and creation of additional flat to the rear. 67 Strand Street\nDouglas\nIsle Of Man\nIM1 2EN","DOUGLAS","29 Mar 2023"
"23/01259/B","Extension of rear bay windows to floor level Poolaash\nQuarterbridge Road\nDouglas\nIsle Of Man\nIM2 3RL\n","DOUGLAS","2 Nov 2023"
"23/01266/B","Proposed sitting room extension with internal alterations. 3 The Abbey Woods\nDouglas\nIsle Of Man\nIM2 5PL\n","DOUGLAS","2 Nov 2023"
"23/01278/CON","Registered Building Consent for installation of replacement windows within rear extension and side wing of property (RB 100) 20 Finch Road\nDouglas\nIsle Of Man\nIM1 2PS\n","DOUGLAS","2 Nov 2023"
"23/01280/B","Proposed alterations to form roof terrace with external staircase 4 Summerhill\nDouglas\nIsle Of Man\nIM2 4PJ\n","DOUGLAS","6 Nov 2023"
"23/01284/CON","Proposed alterations to form roof terrace with external staircase - Registered Building consent for demolition elements to PA 23/01280/B 4 Summerhill\nDouglas\nIsle Of Man\nIM2 4PJ\n","DOUGLAS","6 Nov 2023"
"23/01286/B","Internal alterations to convert 2No apartments into 1No larger apartment 89 Woodbourne Road\nDouglas\nIsle Of Man\nIM2 3AW\n","DOUGLAS","6 Nov 2023"
"23/01293/B","To install an external flue for a log burner 47 Oakhill Close\nDouglas\nIsle Of Man\nIM2 6HU\n","DOUGLAS","7 Nov 2023"
"23/01294/B","New architectural lighting to be installed to Lord Street, Bank Hill and Rear Elevation (Rear Elevation visible from North/South Quay). Illumination is set to be from first floor level to roof. Application is also to include the replacement of the pillar top lights on both the Lord Street and Bank Hill sides to the building. Clinch\'s House\nLord Street\nDouglas\nIsle Of Man\nIM99 1RZ\n","DOUGLAS","7 Nov 2023"
"23/01299/B","Partially demolish and rebuild rear elevation due to poor structural integrity, and remove two existing window openings and render rear wall to match neighbouring properties Stanley House\n7 - 9 Market Hill\nDouglas\nIsle Of Man\nIM1 2BF\n","DOUGLAS","7 Nov 2023"
"23/01301/CON","Partial Demolition and rebuild of rear elevation due to poor structural integrity. Stanley House\n7 - 9 Market Hill\nDouglas\nIsle Of Man\nIM1 2BF\n","DOUGLAS","7 Nov 2023"
"23/01277/B","Alterations to door, window, canopy and driveway - additions to approved application PA 16/01210/B (Retrospective) The Old Sunday School\nGlen Road\nLaxey\nIsle Of Man\nIM4 7AH\n","GARFF","6 Nov 2023"
"23/01281/B","Extension to front elevation, bi-fold doors to rear elevation, alterations to sunroom, new window in gable wall and associated works. 15 All Saints Park\nLonan\nLaxey\nIsle Of Man\nIM4 7LA\n","GARFF","7 Nov 2023"
"23/01288/B","Amendment to previously approved PA 20/00730/B to incorporate pitched roof instead of approved flat roof. 24 Baldrine Park\nBaldrine\nIsle Of Man\nIM4 6DD\n","GARFF","6 Nov 2023"
"23/01241/B","Alterations to reinstate previous openings with new windows, alterations to existing windows/doors and also new roof lights, as well as alterations to remove existing coping stones to roof and extending the slates Crofton\nSummerhill Road\nJurby\nIsle Of Man\nIM7 3BR\n","JURBY","2 Nov 2023"
