"osm_id","osm_type","osm_url","lat","lon","name","name:en","name:gv","listed_status","ref:registered_building","url:registered_building","wikidata"
"1151992896","way","https://osm.org/way/1151992896","54.17321427356478","-4.459372946894658","","","","Registered","128","https://www.gov.im/media/632759/0500128regbld25governorsroad.pdf","Q118188787"
"1151992897","way","https://osm.org/way/1151992897","54.17322462827604","-4.459309724798912","","","","Registered","129","https://www.gov.im/media/632765/0500129regbld27governorsroad.pdf","Q118188788"
"160506184","way","https://osm.org/way/160506184","54.186022","-4.411486500000001","Saint Adamnan's Church","","","Registered","13","https://www.gov.im/media/1352399/0500013regbld-old-kirk-lonan.pdf","Q7586691"
"169193245","way","https://osm.org/way/169193245","54.20975882450172","-4.515999070735522","Saint Luke's Church","","","Registered","130","https://www.gov.im/media/1348594/0500130regbld-st-lukes-church-reduced.pdf","Q105170941"
"922486070","way","https://osm.org/way/922486070","54.27997857544321","-4.368435954316722","Old Ballaglass Power Station","","","Registered","131","https://www.gov.im/media/632627/0500131regbldballaglasspowerstati.pdf","Q118188768"
"1151351732","way","https://osm.org/way/1151351732","54.147220251321286","-4.475093682185967","Watch House, Red Pier","","","Registered","132","https://www.gov.im/media/632207/0500132regbldwatchhouseswitchroo.pdf","Q118188656"
"1151349399","way","https://osm.org/way/1151349399","54.184686550236336","-4.459016828812672","","","","Registered","133","https://www.gov.im/media/632771/0500133regbldwoodlandtowers.pdf","Q118188789"
"1151429706","way","https://osm.org/way/1151429706","54.15812104256414","-4.491226928171394","","","","Registered","134","https://www.gov.im/media/632213/0500134regbldoldcoachhouse.pdf","Q118188657"
"1151354063","way","https://osm.org/way/1151354063","54.38522125799194","-4.409900917141278","","","","Registered","135","https://www.gov.im/media/631625/0500135regbldthurotcottage.pdf","Q118188573"
"112577591","way","https://osm.org/way/112577591","54.28224745633691","-4.587784970182047","The Old Courthouse","","","Registered","136","https://www.gov.im/media/632651/0500136regbldthecourthouse.pdf","Q118188772"
"1145635084","way","https://osm.org/way/1145635084","54.15589581468978","-4.500722008923603","","","","Registered","137","https://www.gov.im/media/632219/0500137regbldthenook.pdf","Q118188658"
"1007456652","way","https://osm.org/way/1007456652","54.31845654571865","-4.424952202337597","Kirk Christ Lezayre","","","Registered","138","https://www.gov.im/media/1351765/0500138regbld-lezayre-church-reduced.pdf","Q118188756"
"102856148","way","https://osm.org/way/102856148","54.322626734882","-4.384343440407451","Sarah G","","","Registered","139","https://www.gov.im/media/632903/0500139regbldflatsthurwoodplace.pdf","Q118188811"
"217382559","way","https://osm.org/way/217382559","54.17630900000001","-4.5731565000000005","Old St Runius","","","Registered","14","https://www.gov.im/media/632615/0500014regbldmarownchurch.pdf","Q30693226"
"79372990","way","https://osm.org/way/79372990","54.155666999999994","-4.501696500000001","The Quarterbridge","","","Registered","140","https://www.gov.im/media/632225/0500140regbld-quarterbridge-hotel-add.pdf","Q7269284"
"186708942","way","https://osm.org/way/186708942","54.05868822502184","-4.6216495","Herring Tower","","","Registered","141","https://www.gov.im/media/632567/0500141regbldherringtower.pdf","Q30623535"
"60001146","way","https://osm.org/way/60001146","54.06056424173244","-4.620499401115323","The Powder House","","","Registered","142","https://www.gov.im/media/632573/0500142regbldthepowderhouse.pdf","Q118188760"
"491220563","node","https://osm.org/node/491220563","54.298439","-4.583791","Orrisdale Lime Kiln","","","Registered","143","https://www.gov.im/media/632657/0500143regbldorrisdalelimekiln.pdf","Q118188773"
"102638452","way","https://osm.org/way/102638452","54.321498278815405","-4.380130785759906","","","","Registered","144","https://www.gov.im/media/632909/0500144regbldnightlifemarketplace.pdf","Q118188812"
"102638462","way","https://osm.org/way/102638462","54.32152912636512","-4.380346018974258","Feltons","","","Registered","144","https://www.gov.im/media/632909/0500144regbldnightlifemarketplace.pdf","Q118188812"
"1151438866","way","https://osm.org/way/1151438866","54.158259905430874","-4.480462288707767","","","","Registered","145","https://www.gov.im/media/632231/0500145regbldoldbrewerywinetradi.pdf","Q118188659"
"1151434657","way","https://osm.org/way/1151434657","54.385524","-4.409878","","","","Registered","146","https://www.gov.im/media/631631/0500146regbldthurotcottageoutbuil.pdf","Q118188574"
"1146742433","way","https://osm.org/way/1146742433","54.41563178925828","-4.3680307989679","Point of Ayre Lighthouse","","","Registered","147","https://www.gov.im/media/631637/0500147regbldlighthouse.pdf","Q15267248"
"60001134","way","https://osm.org/way/60001134","54.05427824817282","-4.624280855331691","Foghorn","","","Registered","148","https://www.gov.im/media/632579/0500148regbldlangnesslighthouse.pdf","Q17155245"
"60001139","way","https://osm.org/way/60001139","54.054908523925576","-4.624986174170012","","","","Registered","148","https://www.gov.im/media/632579/0500148regbldlangnesslighthouse.pdf","Q17155245"
"60001141","way","https://osm.org/way/60001141","54.05486658713145","-4.62508702940245","Langness Lighthouse","","","Registered","148","https://www.gov.im/media/632579/0500148regbldlangnesslighthouse.pdf","Q17155245"
"60001142","way","https://osm.org/way/60001142","54.05478186425281","-4.625330845114832","","","","Registered","148","https://www.gov.im/media/632579/0500148regbldlangnesslighthouse.pdf","Q17155245"
"186072542","way","https://osm.org/way/186072542","54.14331979742915","-4.465822813372766","Douglas Head Lighthouse","","","Registered","149","https://www.gov.im/media/632237/0500149regblddouglasheadlighthous.pdf","Q5301583"
"160232403","way","https://osm.org/way/160232403","54.10844049999999","-4.585605999999999","Saint Sanctain","","","Registered","15","https://www.gov.im/media/633017/0500015regbldsantonparishchurch.pdf","Q105170258"
"475393288","node","https://osm.org/node/475393288","54.083179","-4.678565","Balladoole Farm","","","Registered","150","https://www.gov.im/media/631517/0500150regbldballadoolefarm.pdf","Q118188560"
"963255587","way","https://osm.org/way/963255587","54.322029","-4.3881825","","","","Registered","151","https://www.gov.im/media/632915/0500151regbld218albionterrace.pdf","Q118188813"
"102856134","way","https://osm.org/way/102856134","54.3223585","-4.385177","","","","Registered","152","https://www.gov.im/media/632921/0500152regbldbeanoa.pdf","Q118188814"
"102856147","way","https://osm.org/way/102856147","54.322374617082524","-4.385579156031202","","","","Registered","152","https://www.gov.im/media/632921/0500152regbldbeanoa.pdf","Q118188814"
