Decisions issued under delegated authority 1/1/12 - 31/12/12,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Installation of replacement windows to front and rear dormers,4 Lime Street Port St. Mary Isle Of Man IM9 5ED,PER,15-Oct-12,12/01223/B
Change of use of existing barn to tourist accommodation,Knockaloe Beg Farm Knockaloe Beg Lane Raggatt Peel Isle Of Man IM5 3AQ ,PER,02-Mar-12,12/00083/C
Approval in principle for the erection of ten dwellings (discharging siting and means of access),Land Between Belmont Hill And Ballakermeen Avenue Belmont Hill Douglas Isle Of Man  ,PER,14-May-12,08/01297/A
Erection of a residential development comprising 17 apartments with associated parking provision,Former Crellins Taxi Depot Tower / Parsonage Road  Ramsey Isle Of Man ,PER,18-Sep-12,09/01577/B
Installation of storage container (Retrospective),West Kella Kella Road Sulby Isle Of Man IM7 2HG,REF,21-Mar-12,10/00118/R
Approval in principle for the erection of two dwellings with vehicle accesses,Field 321270 Glen Vine Park Glen Vine Isle Of Man  ,PER,09-Mar-12,11/00474/A
Erection of a first floor extension and replacement conservatory,10 Meadowbrook Gardens Douglas Isle Of Man IM2 2NT,PER,12-Jan-12,11/00523/B
Erection of a replacement dwelling and garage (comprising amendments to PA  07/01217/B),Siesta (Plot 1) Oak Hill Port Soderick Isle Of Man IM4 1AT,PER,11-Jul-12,11/01277/B
Alterations and extensions to dwelling (comprising amendments to PA 10/01489/B),Virginia Barn  Mount Rule Douglas Isle Of Man IM4 4HW ,PER,12-Jan-12,11/01394/B
Alterations and erection of extensions to dwelling,Burnside Cottage Glen Road Ballaugh Isle Of Man IM7 5JG,PER,02-Feb-12,11/01411/B
"Alterations and extensions to dwelling to form ancillary accommodation and pool room, creation of vehicular entrance and boundary wall alterations",The Poplars Poplar Road Douglas Isle Of Man IM2 4AS,PER,02-Apr-12,11/01444/B
Conversion of garage to provide ancillary living accommodation and erection of a detached garage,The Cottage Colden Road Douglas Isle Of Man IM2 3NQ,REF,12-Jun-12,11/01500/B
Demolition of existing garage and workshop and erection of a dwelling with integral garage,Workshop 25 Mines Road Laxey Isle Of Man IM4 7NH ,PER,23-Feb-12,11/01129/B
Creation of a BMX track,Cronk Grianagh Park Strang Douglas Isle Of Man  ,PER,12-Jan-12,11/01247/B
Erection of detached garage,Cedar Lodge Blackberry Lane Douglas Isle Of Man IM2 4PD,PER,13-Jan-12,11/01510/B
Erection of a two storey extension to side and replacement conservatory to rear elevation,Temple Cottage Lower Foxdale Isle Of Man IM4 3BD ,PER,12-Jan-12,11/01450/B
Erection of a detached dwelling,Plot Adjacent To Merrigal House Ballavitchel Road Crosby Isle Of Man IM4 2DL,PER,13-Jan-12,11/01387/REM
Erection of an extension to dwelling,Pooil Villa Barn Ballagawne Road Baldrine Isle Of Man IM4 6EN,PER,23-Feb-12,11/01300/B
"Erection of a 4 apartment block on vacant plot, with associated car parking and access",34 Castlemona Avenue Douglas Isle Of Man  ,PER,29-May-12,11/00435/B
Alterations and extension with decking to rear elevation,37 High View Road Douglas Isle Of Man IM2 5BH,PER,12-Jan-12,11/01253/B
Removal of existing storage sheds and erection of a storage building,The Vicarage Willow Lane Eairy Isle Of Man IM4 3HP ,PER,04-Jan-12,11/01286/B
Installation of a replacement front door,West View Cregneash Isle Of Man IM9 5PS ,PER,03-Feb-12,11/01762/B
Conversion of two existing first floor apartments to a restaurant and erection of a first floor extension to rear elevation,43 Loch Promenade Douglas Isle Of Man IM1 2LZ ,PER,31-Jan-12,11/01763/B
Approval in principle to erect a dwelling at existing yard / depot,"""Countryside Maintenance"" Yard / Depot Bollyn Road Orrisdale Kirk Michael Isle Of Man IM6 2HR",REF,27-Apr-12,12/00316/A
Erection of a replacement dwelling and garage (Amendments to PA 10/01363/B),Kings View 74 King Edward Road Onchan Isle Of Man IM3 2AU,PER,17-Apr-12,12/00318/B
Alterations and extensions to dwelling (Amendment to PA 10/01877/B),Eaglehurst Belmont Hill Douglas Isle Of Man IM1 4NY,PER,10-May-12,11/01471/B
Alterations and extensions to dwelling,3 Vicarage Park Douglas Isle Of Man IM2 2QB ,PER,04-Jan-12,11/01146/B
Installation of three replacement windows to dwelling,Ripple Cottage 6 Douglas Street Castletown Isle Of Man IM9 1AY ,PER,12-Apr-12,12/00320/B
Extension and conversion of detached garage to provide ancillary / tourist accommodation,Langtoft Manor Ballagyr Lane Peel Isle Of Man IM5 2AD,PER,12-Jan-12,11/01570/B
Conversion of outbuilding to provide additional ancillary accommodation,Springhaven Glen Wyllin Kirk Michael Isle Of Man IM6 1AW ,PER,13-Jan-12,11/01606/B
Installation of replacement windows,Kerrowchord Main Road Greeba Isle Of Man IM4 3LD,PER,12-Jan-12,11/01609/B
Extension to rear elevation,Maycroft 31 Droghadfayle Road Port Erin Isle Of Man IM9 6EL ,PER,13-Jan-12,11/01610/B
Installation of dormers and roof lights,Esperance  Bayrauyr Road St Marks Ballasalla Isle Of Man IM9 3AT,PER,05-Jan-12,11/01624/B
Change of use of converted stable from ancillary living accommodation to commercial rental accommodation (Retrospective),Ballanank Farm Phildraw Road Ballasalla Isle Of Man IM9 3EH,REF,16-Feb-12,11/01640/C
Erection of a replacement agricultural building,Field 234076 Berk Farm Peel Road Kirk Michael Isle Of Man  ,REF,03-Apr-12,12/00101/B
Installation of replacement windows,9 Avondale Road Onchan Isle Of Man IM3 1AG,PER,02-Mar-12,12/00102/B
Alterations and extension to dwelling (Amendments to PA 11/00683/B),Balla Treljah Bungalow Treljah Lane Glen Maye Isle Of Man IM5 3AY ,PER,02-Mar-12,12/00105/B
"Alterations, replace garage door with a window, erection of a conservatory and extension of driveway and vehicular access",18 Ballanawin Strang Douglas Isle Of Man IM4 4NR,PER,16-Feb-12,11/01486/B
"Replace existing garage door with rendered block work, creation of self contained tourist accommodation and erection of a detached garage",5 Claughbane Avenue Ramsey Isle Of Man IM8 2BE,PER,03-Apr-12,12/00166/B
Erection of road frontage security fencing,Cringle Quarry Ronague Castletown Isle Of Man IM9 4HJ ,PER,09-Feb-12,11/01760/B
Installation of four roof lights,16 Cronk Cullyn Colby Isle Of Man IM9 4NQ,PER,03-Feb-12,11/01761/B
Installation of two equipment cabinets and replica telegraph pole accommodating two antennas,Verge Adjacent To West Drive Mountain Road Onchan Isle Of Man  ,PER,27-Jan-12,11/01783/TEL
Application for a Certificate of Lawful Use for the use of property as a clinic and beauty salon,1 Granville Street Douglas Isle Of Man IM1 2ES,CLAWA,13-Feb-12,11/01784/LAW
Installation of replacement windows (In association with 11/01318/CON),1 Victoria Terrace Douglas Isle Of Man IM2 4EU,PER,08-Feb-12,11/01317/GB
Registered Building consent for the installation of replacement windows (In association with 11/01317/GB) Registered Building Nos. 187,1 Victoria Terrace Douglas Isle Of Man IM2 4EU,PER,08-Feb-12,11/01318/CON
Reserved Matters Application (pursuant to PA 09/00092/A) for the construction of four dwellings with associated roads and sewers,Ballabeg Main Road Glen Vine Isle Of Man IM4 4BA ,PER,12-Jan-12,11/01260/REM
Alterations to front elevation and roofing works to premises (Amendment to PA 11/01252/B),4 / 5 Glen Falcon Road Douglas Isle Of Man IM2 3EY,PER,13-Apr-12,12/00321/B
Erection of an extension to dwelling,21 Claughbane Avenue Ramsey Isle Of Man IM8 2BF,PER,13-Apr-12,12/00323/B
Installation of replacement windows and doors,15 Albion Terrace Douglas Isle Of Man IM1 3LJ,PER,20-Apr-12,12/00364/B
Erection of four detached dwellings,Land Between Holly Bank And No 9 Ballagorry Drive Glen Mona Ramsey Isle Of Man  ,PER,24-May-12,12/00366/B
Creation of vehicular access and off road parking in front garden,8 Nursery Avenue Onchan Isle Of Man IM3 4HG,REF,20-Apr-12,12/00367/B
Erection of a pedestrian link bridge,Land Between Lake Road And Old Castletown Road Douglas Isle Of Man  ,PER,25-Jan-12,11/01530/B
Erection of a boundary fence (retrospective),75 King Edward Road Onchan Isle Of Man IM3 2AR,PER,13-Jan-12,11/01531/B
Erection of conservatory,Ellen Rhennie The Curragh Ballaugh Isle Of Man IM7 5BH ,PER,12-Jan-12,11/01417/B
Creation of car port / garage,Ballabridson Cottage Dalby Isle Of Man IM5 3BR ,PER,17-Apr-12,12/00002/B
Change of use of existing dwelling to a watch making workshop to be used in association with existing workshop extension,Dundalk Cottage The Cronk Ballaugh Isle Of Man IM7 5BA ,PER,03-Feb-12,12/00008/C
Erection of signage,Royal Buildings Corner Of Main Road And 171 Royal Avenue Onchan Isle Of Man IM3 1LL,PER,10-Feb-12,12/00011/D
Additional use of residential flat as self catering tourist accommodation,2 Bridge Street Peel Isle Of Man IM5 1NB,PER,20-Mar-12,12/00200/C
Alterations and extension to dwelling and conversion of barn to form tourist and ancillary accommodation,Bulltrooan Farmhouse Lhoobs Road Foxdale Isle Of Man  ,REF,12-Jan-12,11/01446/B
Erection of an awning,40 Duke Street Douglas Isle Of Man IM1 2AX,PER,05-Jan-12,11/01592/D
"Application for Certificate of Lawful Use; being the retail sale by Next Plc for the sale of furniture, household goods and decorating items plus childrenswear",Unit 1 Land At Spring Valley Industrial Estate Douglas Isle Of Man  ,CLAWR,12-Jan-12,11/01594/LAW
Erection of a porch to dwelling,12 Tromode Green Douglas Isle Of Man IM2 5NT ,PER,06-Jan-12,11/01634/B
Installation of replacement windows and doors,Veg Veen Cottage Glen Road Laxey Isle Of Man IM4 7AN,PER,12-Jan-12,11/01308/B
Erection of a detached double garage with workshop,Faaie Wyllin Glen Road Ballaugh Isle Of Man IM7 5JD,REF,02-Feb-12,11/01268/B
Installation of replacement doors to front and rear elevations,9 Upper Dukes Road Douglas Isle Of Man IM2 4BA,PER,12-Jan-12,11/01635/B
Installation of a replacement shop front,Mantons 17 Station Road Port Erin Isle Of Man IM9 6AE,PER,13-Jan-12,11/01636/B
Erection of an agricultural shed to replace existing buildings,Shannon-Rhea Begoade Road Onchan Isle Of Man IM4 6AU,PER,12-Jan-12,11/01183/B
Refurbishment works and erection of extension to shops and conversion of existing loft to create an additional apartment,"3, 3A & 5 Douglas Street Peel Isle Of Man IM5 1BA ",PER,12-Jan-12,11/01582/B
Change of use from storage warehouse to a martial arts club (Retrospective),Warehouse And Store Falcon Cliff Terrace Lane Douglas Isle Of Man IM2 4AX ,REF,08-Feb-12,11/01622/C
Erection of two storey extension to dwelling,Dawn Slieau Lewaigue Lewaigue Ramsey Isle Of Man IM7 1BG,PER,09-Feb-12,11/01724/B
Creation of off road parking and vehicular access,Veg Veen Cottage Glen Road Laxey Isle Of Man IM4 7AN,REF,12-Jan-12,11/01275/B
Erection of detached garage,Carisbrooke Clenagh Road Sulby Isle Of Man IM7 3AD,PER,17-Feb-12,12/00032/B
Replace existing window with a doorway and steps,15 Greyfriars Close Ballabeg Castletown Isle Of Man IM9 4EJ,PER,16-Jan-12,11/01659/B
Erection of an extension to rear elevation of dwelling,48 Glenfaba Road Peel Isle Of Man IM5 1BX,PER,12-Jan-12,11/01660/B
Erection of an extension and creation of a patio area to dwelling,Hamara Riverbank Road Ramsey Isle Of Man IM8 3PP ,PER,18-Jan-12,11/01719/B
Erection of replacement porch and utility room extensions,2 Westlands Close Ramsey Isle Of Man IM8 3PU,PER,09-Feb-12,11/01775/B
Alterations and installation of a dormer window to dwelling,Thie Grianagh 13 Queens Drive West Ramsey Isle Of Man IM8 2JD ,PER,02-Mar-12,12/00081/B
"Alterations, erection of extension and roofing works to dwelling",Wychwood Honna Road Surby Port Erin Isle Of Man IM9 6QW,PER,02-Mar-12,12/00082/B
Erection of a detached garage and stable,Clybane Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX,REF,23-Apr-12,12/00119/B
Alterations and erection of extensions to dwelling,2 The Falls Tromode Douglas Isle Of Man IM4 4PZ ,PER,02-Feb-12,11/01494/B
Erection of an industrial building consisting of four bays with offices,Unit 42 Snugborough Trading Estate Union Mills Isle Of Man IM4 4LQ,PER,08-Feb-12,11/01479/B
Creation of two additional residential flats,48 Murrays Road Douglas Isle Of Man IM2 3HW,REF,20-Mar-12,12/00174/B
Reduce height of boundary wall (In association with 12/000176/CON),The Anchorage Parliament Lane Castletown Isle Of Man IM9 1LB ,REF,20-Mar-12,12/00175/GB
Registered Building consent to reduce the height of a boundary wall (In association with 12/000175/GB) Registered Building Nos. 53,The Anchorage Parliament Lane Castletown Isle Of Man IM9 1LB ,REF,20-Mar-12,12/00176/CON
Installation of replacement windows and front door,The Elms 3 Glencrutchery Road Douglas Isle Of Man IM2 5HS,PER,12-Apr-12,11/01661/B
"Alterations, installation of a dormer window and replace an existing window with french windows",Aigh Vie Beaumont Road Ramsey Isle Of Man IM8 2HW,PER,10-Jan-12,11/01663/B
Renovation and conversion of barn into tourist accommodation,West Craige Farm  St Judes Road West Craig Ramsey Isle Of Man IM7 3BY,PER,20-Mar-12,11/01688/B
Demolition of a single storey shed (Unit Z) and conversion of an old pump house (Unit Y) to provide office accommodation with associated parking,Old Pump House The Fish Yard Mill Road Peel Isle Of Man IM5 1TA,PER,18-Jan-12,11/01692/B
Erection of an extension to dwelling,109 Wybourn View Onchan Isle Of Man IM3 4AZ,PER,12-Jan-12,11/01693/B
Replace existing structures with a single storey detached garage,Mokhotlong Colden Road Douglas Isle Of Man IM2 3NQ,PER,18-Jun-12,11/01521/B
Installation of patio doors to replace existing window and window to replace garage door,Plot 2 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ ,PER,13-Jan-12,11/01524/B
Application for a certificate of lawful development for replacement of windows with doors and windows,Glen House Dhoon Loop Road Dhoon Ramsey Isle Of Man IM7 1HN ,CLAWA,05-Jan-12,11/01529/LAW
Extension (Phase 5) of existing sand pit for extraction,Cronk-Y-Scotty Coast Road Jurby Isle Of Man IM7 3ET,PER,24-Feb-12,11/01379/B
Erection of a conservatory extension to create enlarged shop area / entrance,The Wildlife Park The Curragh Ballaugh Isle Of Man IM7 5EA ,PER,03-Feb-12,11/01749/B
Extension to dwelling,Mill House Wheel Hill Laxey Isle Of Man IM4 7NL,PER,12-Mar-12,12/00061/B
Erection of a detached garage,Plot 2 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ ,PER,02-Mar-12,12/00066/B
Erection of a two storey extension to dwelling,25 Kerrocruin Kirk Michael Isle Of Man IM6 1AG,PER,15-Mar-12,12/00086/B
Alterations and extension to dwelling (comprising amendments to PA 11/00982/B),1 Bishopscourt Cottages Main Road Ballaugh Isle Of Man IM7 5EX,PER,06-Jan-12,11/01653/B
Installation of replacement windows and doors,Virginia Barn Mount Rule Douglas Isle Of Man IM4 4HW ,PER,16-Jan-12,11/01675/B
Erection of a replacement extension to dwelling,10 Groudle View Onchan Isle Of Man IM3 2EY ,PER,02-Feb-12,11/01373/B
Erection of a conservatory and a two storey extension to dwelling,2 Ballanoa Meadow Santon Isle Of Man IM4 1HQ,PER,16-Jan-12,11/01679/B
Erection of three polytunnels,Ballacannell Dhoor Ramsey Isle Of Man IM7 4ED ,PER,23-Jan-12,11/01718/B
Approval in principle for erection of a dwelling,Land To Rear Of Cooil Avenue And Adjacent To Beachfield Farm Lane Kirk Michael Isle Of Man  ,REF,23-Jan-12,11/01722/A
Erection of a first floor extension to dwelling,Del Monique Woodlands Avenue Douglas Isle Of Man IM2 3QS,PER,23-Jan-12,11/01723/B
Additional use of residential dwelling as a business (retrospective),30 Allan Street Douglas Isle Of Man IM1 3DH,REF,14-Mar-12,11/01725/C
Installation of replacement shop front,2 Market Hill Ramsey Isle Of Man IM8 1JT,PER,05-Mar-12,12/00143/B
Erection of illuminated signage (retrospective),Tracey Bell Clinic Kensington Road Douglas Isle Of Man IM1 3PE ,PER,12-Apr-12,12/00272/D
Erection of a single storey extension to side elevation of dwelling,52 Ballahane Meadows Erin Way Port Erin Isle Of Man IM9 6EF ,PER,15-May-12,12/00346/B
Erection of a small domed observatory within ground of dwelling,Englefield Ballakinnag Road Smeale Ramsey Isle Of Man IM7 3ED,PER,17-Apr-12,12/00359/B
Erection of a two storey extension to side elevation of dwelling,70 Cronk Grianagh Estate Douglas Isle Of Man IM4 4RN,PER,17-Apr-12,12/00363/B
Erection of an agricultural building to provide storage and stables,Field 131881 Narradale West Narradale Sulby Isle Of Man IM7 2HA ,PER,04-Jan-12,11/01522/B
Installation of an air conditioning unit,Acclaim House 12 Mount Havelock Douglas Isle Of Man IM1 2QG ,PER,31-Jan-12,11/01658/B
Erection of a dwelling with detached garage (amendment to PA 11/01336/B),28 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ ,PER,29-Feb-12,12/00012/B
"Alterations, erection of extension and roofing works to dwelling",Braemar Lag Birragh Drive Onchan Isle Of Man IM3 2JW,PER,13-Jan-12,11/01498/B
