Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,12/00247/B,Alterations and extensions to dwelling (comprising amendment to PA 11/01723/B),29-Mar-12,Senior Planning Officer - South (SC),Del Monique Woodlands Avenue Douglas Isle Of Man IM2 3QS
Permitted,12/00248/B,Extension to dwelling,29-Mar-12,Senior Planning Officer - South (SC),8 Wybourn Drive Onchan Isle Of Man IM3 4AJ
Permitted,12/00249/B,"Erection of lean to storage building, greenhouse, boundary wall and fencing in rear garden",27-Mar-12,Senior Planning Officer - North (CB),The Creggans Main Road Kirk Michael Isle Of Man IM6 1AH
Permitted,12/00250/B,Erection of front porch,27-Mar-12,Senior Planning Officer - North (CB),27 Abbots Way Abbotswood Ballasalla Isle Of Man IM9 3EQ 
Application Withdrawn,12/00251/B,Erection of timber shed,24-Feb-12,Withdrawn,Land At Thie Rosien Castletown Road Port Erin Isle Of Man IM9 6BD 
Permitted,12/00252/B,Widening of driveway and access onto highway,29-Mar-12,Senior Planning Officer - South (SC),17 Harbour Road Onchan Isle Of Man IM3 1BJ
Permitted,12/00253/B,Replace rear elevation window with patio doors,29-Mar-12,Senior Planning Officer - South (SC),20 Westbourne Drive Douglas Isle Of Man IM1 4AZ
Application Withdrawn,12/00254/B,Erection of an antenna mast,30-Mar-12,Withdrawn,Dovedale Hillberry Road Onchan Isle Of Man IM3 3BQ
Refused,12/00255/B,Conversion of building to provide three residential apartments,10-May-12,Senior Planning Officer - South (SC),8 Kingswood Grove Douglas Isle Of Man IM1 3LX
Refused,12/00256/GB,Alterations and extension to dwelling and demolition and rebuilding of 46 Arbory Street to form residential accommodation (In association with 12/00257/CON),11-Jul-12,Planning Committee,Elderbank The Crofts Castletown Isle Of Man IM9 1LW
Refused,12/00257/CON,Registered Building consent for alterations and extension to dwelling and demolition and rebuilding of 46 Arbory Street to form residential accommodation (In association with 12/00256/GB) Registered Building Nos. 259,11-Jul-12,Planning Committee,Elderbank The Crofts Castletown Isle Of Man IM9 1LW
Permitted,12/00258/B,Window alterations and installation of replacement windows to dwelling,12-Apr-12,Senior Planning Officer - South (SC),Ellenbrook House Old Castletown Road Douglas Isle Of Man IM4 1AQ
