Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,08/01297/A,Approval in principle for the erection of ten dwellings (discharging siting and means of access),14-May-12,Head of Development Management,Land Between Belmont Hill And Ballakermeen Avenue Belmont Hill Douglas Isle Of Man  
Application Withdrawn,09/00110/B,Removal of condition retaining property as part of Ballamanagh Farm holding,26-Jul-12,Withdrawn,Tramman Ballamanagh Road Sulby Isle Of Man IM7 2HD
Permitted,09/01577/B,Erection of a residential development comprising 17 apartments with associated parking provision,18-Sep-12,Director Delegation,Former Crellins Taxi Depot Tower / Parsonage Road  Ramsey Isle Of Man 
Application Withdrawn,09/01941/R,Creation of a temporary construction compound and storage area,04-Jul-12,Withdrawn,Field 612629 Adjacent To Access Road   Proposed Dwelling At Barroose Farm Barroose House Barroose Road Baldrine Isle Of Man  
Application Withdrawn,09/02035/B,Conversion of building to provide two apartments,05-Dec-12,Withdrawn,10 Water Street Ramsey Isle Of Man IM8 1JP
Refused,10/00118/R,Installation of storage container (Retrospective),21-Mar-12,Director Delegation,West Kella Kella Road Sulby Isle Of Man IM7 2HG
Application Withdrawn,10/00189/R,Continued use of site as a temporary car park for a period of up to five years (Retrospective),14-Sep-12,Withdrawn,Former Site Of 1-4 Mount Havelock Mount Havelock Douglas Isle Of Man
Permitted,11/00435/B,"Erection of a 4 apartment block on vacant plot, with associated car parking and access",29-May-12,Head of Development Management,34 Castlemona Avenue Douglas Isle Of Man  
Permitted,11/00459/C,"Additional use of agricultural land for recreational activities, extension to car park and formation of zorbing tracks",12-Jun-12,Planning Committee,Ballakaighen Farm Whitebridge Road Onchan Isle Of Man IM4 6AD 
Permitted,11/00474/A,Approval in principle for the erection of two dwellings with vehicle accesses,09-Mar-12,Head of Development Management,Field 321270 Glen Vine Park Glen Vine Isle Of Man  
Permitted,11/00523/B,Erection of a first floor extension and replacement conservatory,12-Jan-12,Head of Development Management,10 Meadowbrook Gardens Douglas Isle Of Man IM2 2NT
Permitted,11/00684/B,"Erection of 35 dwellings with associated highway and drainage infrastructure, public open space and landscaping",02-Mar-12,Department Application,Colby Football Club Ground Glen Road  Colby Isle Of Man IM9 4NU
Deemed withdrawn 4(3) Dev Pro Order 2005,11/00705/B,"Re-development of site as a marine recreational facility comprising berths for small boats, hotel, restaurant, shop and managers apartment",27-Nov-12,Withdrawn,Traie Meanagh Pool Traie Meanagh Drive Port Erin Isle Of Man IM9 6LL
Permitted,11/00909/B,Erection of a farm workers dwelling,23-Feb-12,Head of Development Management,Part Field 434603 Middle Cordeman Farm Cordeman Road St Marks Ballasalla Isle Of Man  
Application Withdrawn,11/00917/B,"Erection of a replacement dwelling with associated landscaping, helicopter pad and associated storage building",09-Oct-12,Withdrawn,Ballateare Farm House Jurby West Isle Of Man IM7 3AS 
Application Withdrawn,11/00927/B,Extension to existing agricultural shed with hard-standing,02-Mar-12,Withdrawn,Field 310653 Bwoalliecowle Farm  Staarvey Road Peel Isle Of Man  
Application Withdrawn,11/00974/B,Demolition of existing detached garage and erection of replacement garage with living accommodation above,04-Apr-12,Withdrawn,White Gables Alexander Drive Douglas Isle Of Man IM2 3QR
Permitted,11/00990/B,"Erection of 45 dwellings with associated highway and drainage infrastructure, public open space and landscaping",31-May-12,Department Application,"Parts Of Fields 134273,134274,134275,134276  And Adjacent Highway  East Of Gardeners Lane  Poylldooey Ramsey  Ramsey Isle Of Man  "
Application Withdrawn,11/01063/B,Erection of three agricultural buildings and erection of extensions to an existing agricultural building,01-Oct-12,Withdrawn,Ballachrink Moar Ramsey Road Laxey Isle Of Man IM4 7PP
Permitted,11/01078/B,Alterations to existing vehicular access,23-Apr-12,Planning Committee,Bibaloe Moar Farm  Whitebridge Hill Onchan Isle Of Man IM4 5AE
Permitted,11/01089/B,Demolition of existing and erection of building to provide 19 apartments with associated parking (Amendments to PA 09/00310/B),27-Feb-12,Head of Development Management,74  - 76 Waterloo Road Ramsey Isle Of Man IM8 1EH 
Refused,11/01091/B,Erection of a block of 68 apartments with landscaping and parking and demolition of no 6 Summerhill to provide amended vehicular access,19-Jun-12,Department Application,Former Tours (IOM) Site Summerhill Quarry Summerhill Douglas Isle Of Man IM2 4PF
Permitted,11/01129/B,Demolition of existing garage and workshop and erection of a dwelling with integral garage,23-Feb-12,Head of Development Management,Workshop 25 Mines Road Laxey Isle Of Man IM4 7NH 
Permitted,11/01146/B,Alterations and extensions to dwelling,04-Jan-12,Head of Development Management,3 Vicarage Park Douglas Isle Of Man IM2 2QB 
Permitted,11/01183/B,Erection of an agricultural shed to replace existing buildings,12-Jan-12,Head of Development Management,Shannon-Rhea Begoade Road Onchan Isle Of Man IM4 6AU
Application Withdrawn,11/01197/B,Erection of a detached dwelling with associated parking,22-Jun-12,Withdrawn,Plot 11 Poachers Pocket Development Bridge Road Ballasalla Isle Of Man IM9 3DA 
Permitted,11/01232/B,Erection of a light industrial development comprising 4 individual buildings providing 24 separate units with parking and landscaping,20-Sep-12,Planning Committee,Field 521919 Land Adjacent To Eden Park  Cooil Road Cooil Douglas Isle Of Man  
Permitted,11/01247/B,Creation of a BMX track,12-Jan-12,Director Delegation,Cronk Grianagh Park Strang Douglas Isle Of Man  
Refused,11/01250/B,"Residential development of 100 dwellings with highway and drainage infrastructure, new school field and playground, public open space and landscaping",27-Feb-12,Department Application,"Part Field's 234267, 234456, 234555 & 230578, Parts Of Adjacent Gardens, School Grounds & Adjacent Highway, Main Road Playground, Part Public Car Park & Verge/hedge Of Slieau Curn Park, Kirk Michael"
Permitted,11/01253/B,Alterations and extension with decking to rear elevation,12-Jan-12,Head of Development Management,37 High View Road Douglas Isle Of Man IM2 5BH
Permitted,11/01260/REM,Reserved Matters Application (pursuant to PA 09/00092/A) for the construction of four dwellings with associated roads and sewers,12-Jan-12,Director Delegation,Ballabeg Main Road Glen Vine Isle Of Man IM4 4BA 
Refused,11/01268/B,Erection of a detached double garage with workshop,02-Feb-12,Head of Development Management,Faaie Wyllin Glen Road Ballaugh Isle Of Man IM7 5JD
Refused,11/01275/B,Creation of off road parking and vehicular access,12-Jan-12,Head of Development Management,Veg Veen Cottage Glen Road Laxey Isle Of Man IM4 7AN
Permitted,11/01277/B,Erection of a replacement dwelling and garage (comprising amendments to PA  07/01217/B),11-Jul-12,Head of Development Management,Siesta (Plot 1) Oak Hill Port Soderick Isle Of Man IM4 1AT
Permitted,11/01286/B,Removal of existing storage sheds and erection of a storage building,04-Jan-12,Head of Development Management,The Vicarage Willow Lane Eairy Isle Of Man IM4 3HP 
Permitted,11/01290/A,"Approval in principle for mixed used development to provide industrial / warehousing, office / retail accommodation and leisure facilities including service road and car parking (discharging siting and means of access)",21-Aug-12,Planning Committee,Land Adjacent Industrial Estate Ballafletcher Road Cronkbourne Douglas Isle Of Man  
Refused,11/01294/A,Approval in principle for the erection of an agricultural workers dwelling,05-Apr-12,Head of Development Management,Mount Karrin  Sulby Glen Sulby Isle Of Man IM7 2BB
Permitted,11/01295/B,Alterations and extensions to dwelling including the installation of replacement windows,03-Feb-12,Head of Development Management,Burnside Glen Road Laxey Isle Of Man IM4 7AJ
Permitted,11/01296/B,Installation of replacement windows and doors,04-Jan-12,Head of Development Management,International Business School The Nunnery Old Castletown Road Douglas Isle Of Man IM2 1QB
Permitted,11/01300/B,Erection of an extension to dwelling,23-Feb-12,Head of Development Management,Pooil Villa Barn Ballagawne Road Baldrine Isle Of Man IM4 6EN
Permitted,11/01301/B,"Access alterations, formation of access tracks and extension of residential curtilage",03-Apr-12,Planning Committee,Glenside Ramsey Road Peel Isle Of Man IM5 2AQ
Permitted,11/01308/B,Installation of replacement windows and doors,12-Jan-12,Head of Development Management,Veg Veen Cottage Glen Road Laxey Isle Of Man IM4 7AN
Permitted,11/01316/B,Erection of a replacement dwelling,20-Mar-12,Planning Committee,Pinfold Cottage Lezayre Road Lezayre Ramsey Isle Of Man IM7 2AJ
Permitted,11/01317/GB,Installation of replacement windows (In association with 11/01318/CON),08-Feb-12,Head of Development Management,1 Victoria Terrace Douglas Isle Of Man IM2 4EU
Permitted,11/01318/CON,Registered Building consent for the installation of replacement windows (In association with 11/01317/GB) Registered Building Nos. 187,08-Feb-12,Head of Development Management,1 Victoria Terrace Douglas Isle Of Man IM2 4EU
Permitted,11/01333/B,Erection of a detached dwelling,20-Mar-12,Planning Committee,Land Adjacent To Shan Vallah The Colony Port Lewaigue Ramsey Isle Of Man  
Permitted,11/01341/B,"Demolition and rebuilding of existing front facade, alterations, extension, erection of a garage, creation of terraces and installation of replacement windows to dwelling",02-May-12,Planning Committee,48 Derby Square Douglas Isle Of Man IM1 3LP
Permitted,11/01352/B,Installation of dormer to front elevation and roof lights to rear elevation,08-Feb-12,Director Delegation,Swn Y Mor Clifton Road Port St. Mary Isle Of Man IM9 5EL
Permitted,11/01355/B,Erection of a farm worker's dwelling and extension to existing barn,08-Feb-12,Planning Committee,Field 134898 Narradale Sulby Isle Of Man  
Application Withdrawn,11/01356/B,Erection of a summerhouse,02-Feb-12,Withdrawn,Part Field 131167 Garey Road Garey Ramsey Isle Of Man  
Permitted,11/01373/B,Erection of a replacement extension to dwelling,02-Feb-12,Head of Development Management,10 Groudle View Onchan Isle Of Man IM3 2EY 
Permitted,11/01379/B,Extension (Phase 5) of existing sand pit for extraction,24-Feb-12,Head of Development Management,Cronk-Y-Scotty Coast Road Jurby Isle Of Man IM7 3ET
Refused,11/01380/B,Erection of an agricultural barn,20-Mar-12,Planning Committee,Swallow Beg Gibdale Farm Bayrauyr Road St Marks Ballasalla Isle Of Man IM9 3AT 
Permitted,11/01383/GB,"Amendment to approved alterations and part demolition of the Douglas Hotel and demolition and redevelopment of the remainder of the site to create offices, Public House and basement storage (In association with 11/01384/CON)",21-Feb-12,Planning Committee,"The Douglas Hotel, Former IOM Farmers Retail Unit & The Clarendon Hotel North Quay Douglas Isle Of Man IM1 4LA"
Permitted,11/01384/CON,"Registered Building consent for the amendment to approved alterations and part demolition of the Douglas Hotel and demolition and redevelopment of the remainder of the site to create offices, Public House and basement storage (In association with 11/01383",21-Feb-12,Planning Committee,"The Douglas Hotel, Former IOM Farmers Retail Unit & The Clarendon Hotel North Quay Douglas Isle Of Man IM1 4LA"
Permitted,11/01387/REM,Erection of a detached dwelling,13-Jan-12,Head of Development Management,Plot Adjacent To Merrigal House Ballavitchel Road Crosby Isle Of Man IM4 2DL
Permitted,11/01394/B,Alterations and extensions to dwelling (comprising amendments to PA 10/01489/B),12-Jan-12,Head of Development Management,Virginia Barn  Mount Rule Douglas Isle Of Man IM4 4HW 
Permitted,11/01400/B,Erection of a replacement dwelling,12-Jan-12,Planning Committee,The Rheast  Rheast Road Santon Isle Of Man IM4 2HR 
Permitted,11/01411/B,Alterations and erection of extensions to dwelling,02-Feb-12,Head of Development Management,Burnside Cottage Glen Road Ballaugh Isle Of Man IM7 5JG
Refused,11/01415/B,Erection of an agricultural building,05-Apr-12,Head of Development Management,Former Silage Area Field 324310 Eyreton Farm Crosby Isle Of Man  
Permitted,11/01417/B,Erection of conservatory,12-Jan-12,Head of Development Management,Ellen Rhennie The Curragh Ballaugh Isle Of Man IM7 5BH 
Application Withdrawn,11/01429/A,Approval in principle for erection of a dwelling,14-Jun-12,Withdrawn,Site To East Of   Laureston Manor Ballaquayle Road Douglas Isle Of Man  
Permitted,11/01430/A,Approval in principle for the re-location of farm dwelling and buildings,07-Aug-12,Planning Committee,Field 114104 Ballakilley Farm  Lambhill Road Cranstal Bride Isle Of Man  
Permitted,11/01432/B,Conversion of redundant barn into a dwelling,02-Feb-12,Head of Development Management,East Ballabane Smeale Andreas Isle Of Man IM7 3EB 
Permitted,11/01439/B,Creation of a camp site for five yurts and one marquee tent for cooking and washing facilities,03-Apr-12,Planning Committee,"Field's 321490, 324208 & 324205 Main Road Union Mills Isle Of Man  "
Permitted,11/01444/B,"Alterations and extensions to dwelling to form ancillary accommodation and pool room, creation of vehicular entrance and boundary wall alterations",02-Apr-12,Head of Development Management,The Poplars Poplar Road Douglas Isle Of Man IM2 4AS
Refused,11/01446/B,Alterations and extension to dwelling and conversion of barn to form tourist and ancillary accommodation,12-Jan-12,Director Delegation,Bulltrooan Farmhouse Lhoobs Road Foxdale Isle Of Man  
Permitted,11/01450/B,Erection of a two storey extension to side and replacement conservatory to rear elevation,12-Jan-12,Director Delegation,Temple Cottage Lower Foxdale Isle Of Man IM4 3BD 
Permitted,11/01451/B,Conversion of existing guest house into nine apartments,03-Apr-12,Planning Committee,Woodside  14 Mona Drive Douglas Isle Of Man IM2 4LF
Refused,11/01454/B,Erection of an agricultural building,17-Jan-12,Head of Development Management,Field 321862 Braaid Road Glen Vine Isle Of Man  
Refused,11/01461/B,Erection of a replacement dwelling and detached garage,13-Jun-12,Planning Committee,Hill View Sulby Glen Sulby Isle Of Man IM7 2BB
Permitted,11/01463/B,Roof light and window alterations and creation of temporary office and associated staff accommodation,04-Jan-12,Head of Development Management,Africa House Woodbourne Road Douglas Isle Of Man IM2 3AP
Permitted,11/01464/B,Erection of a first floor extension,04-Jan-12,Head of Development Management,Africa House Woodbourne Road Douglas Isle Of Man IM2 3AP
Permitted,11/01465/B,"Alterations, erection of an extension, garage and summerhouse to dwelling",12-Jan-12,Head of Development Management,Close Mooar The Curragh Ballaugh Isle Of Man IM7 5BL 
Permitted,11/01471/B,Alterations and extensions to dwelling (Amendment to PA 10/01877/B),10-May-12,Senior Planning Officer - South (SC),Eaglehurst Belmont Hill Douglas Isle Of Man IM1 4NY
Permitted,11/01479/B,Erection of an industrial building consisting of four bays with offices,08-Feb-12,Head of Development Management,Unit 42 Snugborough Trading Estate Union Mills Isle Of Man IM4 4LQ
Refused,11/01484/A,Approval in principle for the erection of two semi detached dwellings with attached garages and one detached dwelling with an integral garage,13-Feb-12,Head of Development Management,16 & 16A Marathon Road Douglas Isle Of Man IM2 4HL
Permitted,11/01486/B,"Alterations, replace garage door with a window, erection of a conservatory and extension of driveway and vehicular access",16-Feb-12,Head of Development Management,18 Ballanawin Strang Douglas Isle Of Man IM4 4NR
Permitted,11/01494/B,Alterations and erection of extensions to dwelling,02-Feb-12,Head of Development Management,2 The Falls Tromode Douglas Isle Of Man IM4 4PZ 
Permitted,11/01498/B,"Alterations, erection of extension and roofing works to dwelling",13-Jan-12,Head of Development Management,Braemar Lag Birragh Drive Onchan Isle Of Man IM3 2JW
Refused,11/01500/B,Conversion of garage to provide ancillary living accommodation and erection of a detached garage,12-Jun-12,Head of Development Management,The Cottage Colden Road Douglas Isle Of Man IM2 3NQ
Permitted,11/01503/A,Approval in principle for the erection of a dwelling,07-Mar-12,Planning Committee,Parcel Of Land At Mull House Baymount Port Erin Isle Of Man  
Permitted,11/01505/B,Erection of two dwellings,02-Feb-12,Director Delegation,Field 434035 Adjacent To Gardenfield & Irwell Malew Road Castletown Isle Of Man  
Permitted,11/01506/B,Alterations and erection of an extension to dwelling,13-Jan-12,Head of Development Management,15 Summerhill Road Onchan Isle Of Man IM3 1NE
Permitted,11/01509/B,Installation of replacement first floor windows,13-Jan-12,Head of Development Management,2 Windsor Road Douglas Isle Of Man IM1 3JY
Permitted,11/01510/B,Erection of detached garage,13-Jan-12,Head of Development Management,Cedar Lodge Blackberry Lane Douglas Isle Of Man IM2 4PD
Permitted,11/01511/B,"Alterations, erection of extensions and roofing works to dwelling",23-Jan-12,Planning Committee,Altadore Bradda Road Port Erin Isle Of Man IM9 6QA
Permitted,11/01518/B,Demolition and replacement of existing dwelling including renovation of existing barns (Amendments to PA 11/00033/B),06-Mar-12,Planning Committee,Ballacaroon Farm West Baldwin Road Mount Rule Isle Of Man IM4 4HS 
Permitted,11/01521/B,Replace existing structures with a single storey detached garage,18-Jun-12,Head of Development Management,Mokhotlong Colden Road Douglas Isle Of Man IM2 3NQ
Permitted,11/01522/B,Erection of an agricultural building to provide storage and stables,04-Jan-12,Head of Development Management,Field 131881 Narradale West Narradale Sulby Isle Of Man IM7 2HA 
Application Withdrawn,11/01523/B,Erection of a detached garage (located adjacent to plot 33 Knock Rushen) for the use of Nos. 2 Knock Rushen,19-Jan-12,Withdrawn,2 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ 
Permitted,11/01524/B,Installation of patio doors to replace existing window and window to replace garage door,13-Jan-12,Head of Development Management,Plot 2 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ 
Certificate of Lawfulness AGREED,11/01529/LAW,Application for a certificate of lawful development for replacement of windows with doors and windows,05-Jan-12,Head of Development Management,Glen House Dhoon Loop Road Dhoon Ramsey Isle Of Man IM7 1HN 
Permitted,11/01530/B,Erection of a pedestrian link bridge,25-Jan-12,Head of Development Management,Land Between Lake Road And Old Castletown Road Douglas Isle Of Man  
Permitted,11/01531/B,Erection of a boundary fence (retrospective),13-Jan-12,Head of Development Management,75 King Edward Road Onchan Isle Of Man IM3 2AR
Certificate of Lawfulness AGREED,11/01533/LAW,Application for a Certificate of Lawful Use for conversion of outbuilding into living accommodation,05-Jan-12,Head of Development Management,Glen House Dhoon Loop Road Dhoon Ramsey Isle Of Man IM7 1HN 
Application Withdrawn,11/01534/A,Approval in principle for the erection of two detached bungalows,16-Aug-12,Withdrawn,Land At Manor View Douglas Isle Of Man  
Permitted,11/01535/B,Alterations and extension to outbuilding to form a dwelling,15-May-12,Planning Committee,Smeall Manaugh Smeale Andreas Isle Of Man  
Permitted,11/01539/B,"Alterations, erection of extensions to dwelling and creation of a pedestrian access",12-Jan-12,Director Delegation,6 Cronk Reayrt Peel Isle Of Man IM5 1DB
Permitted,11/01540/D,Erection of non illuminated signage,13-Jan-12,Head of Development Management,Clarendon House Victoria Street Douglas Isle Of Man IM1 2LN
Permitted,11/01542/B,Erection of a two storey extension to dwelling,12-Jan-12,Director Delegation,7 Ballastrooan Colby Isle Of Man IM9 4NR 
Permitted,11/01546/B,Alterations and erection of a first floor extension,13-Jan-12,Head of Development Management,Marathon Court Nursing Home Victoria Road Douglas Isle Of Man IM2 4RQ
Permitted,11/01548/B,Erection of an industrial unit with associated parking and site works,04-Jan-12,Head of Development Management,Site Adjacent To Media House Tromode Industrial Estate Tromode Douglas Isle Of Man  
Refused,11/01551/B,"Demolition of existing house and barn and erection of a detached dwelling, garages and staff accommodation with associated hard and soft landscaping",02-Feb-12,Head of Development Management,Ballaveare Old Castletown Road Port Soderick Isle Of Man IM4 1BB
Permitted,11/01553/F,Registered Building Consent for the demolition and removal of existing garage and workshop,23-Feb-12,Head of Development Management,Workshop 25 Mines Road Laxey Isle Of Man IM4 7NH 
Permitted,11/01554/B,Erection of a replacement dwelling,01-Mar-12,Planning Committee,Ballayelse Ronague Castletown Isle Of Man IM9 4HH 
Permitted,11/01556/B,Landscaping works to rear garden of dwelling,03-Feb-12,Head of Development Management,Milner Mount Bradda West Road Spaldrick Port Erin Isle Of Man IM9 6PN
Permitted,11/01562/GB,Extension to existing office building and creation of additional car parking (In association with 11/01563 CON),07-Mar-12,Planning Committee,Falcon Cliff  Palace Road Douglas Isle Of Man IM2 4LA
Permitted,11/01563/CON,Registered Building Consent for extension and internal alterations to existing office building (RB no 112 in association with 11/01562/CON),07-Mar-12,Planning Committee,Falcon Cliff  Palace Road Douglas Isle Of Man IM2 4LA
Permitted,11/01564/B,Divide existing dwelling to form two semi detached dwellings,13-Jan-12,Director Delegation,Craig-Y-Nos Bradda Road Port Erin Isle Of Man IM9 6QA
Application Withdrawn,11/01569/C,Change of use from warehousing / light industry into office accommodation (Retrospective),07-Aug-12,Withdrawn,2A Berkeley Street Lane Douglas Isle Of Man IM2 3RN 
Permitted,11/01570/B,Extension and conversion of detached garage to provide ancillary / tourist accommodation,12-Jan-12,Director Delegation,Langtoft Manor Ballagyr Lane Peel Isle Of Man IM5 2AD
Permitted,11/01576/B,Removal of courtyard wall and installation of a garage door to rear elevation,12-Jan-12,Head of Development Management,Honeybadger Heights 12 Summerhill Douglas Isle Of Man IM2 4PG
Refused,11/01577/GB,Erection of a garage and utility extension to replace existing (In association with 11/01578/CON),03-Feb-12,Head of Development Management,Ballaradcliffe House Kiondroghad Road Andreas Isle Of Man IM7 3EL
Refused,11/01578/CON,Registered Building consent for the erection of a garage and utility extension to replace existing (In association with 11/01577/GB) Registered Building Nos. 247,03-Feb-12,Head of Development Management,Ballaradcliffe House Kiondroghad Road Andreas Isle Of Man IM7 3EL
Permitted,11/01579/B,Erection of fencing (Retrospective),05-Apr-12,Head of Development Management,Rossendale Glenview Terrace Port Erin Isle Of Man IM9 6HA
Permitted,11/01580/B,"Erection of a first floor extension and a single storey extension to rear elevation, replace existing garage door with a window and widen existing driveway",05-Jan-12,Head of Development Management,1 Clybane Rise Douglas Isle Of Man IM2 2NB
Permitted,11/01581/B,Roofing works to and extension of existing garage,12-Jan-12,Head of Development Management,The Mount Mount Morrison Peel Isle Of Man IM5 1PN
Permitted,11/01582/B,Refurbishment works and erection of extension to shops and conversion of existing loft to create an additional apartment,12-Jan-12,Director Delegation,"3, 3A & 5 Douglas Street Peel Isle Of Man IM5 1BA "
Application Withdrawn,11/01583/B,Conversion of redundant barn to three holiday cottages and creation of additional parking,09-Feb-12,Withdrawn,Ard Na Mara House Quines Hill Port Soderick Isle Of Man IM4 1BA 
Permitted,11/01584/B,Erection  of a dwelling with detached garage,12-Jan-12,Director Delegation,1 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ 
Permitted,11/01587/B,Erection of a four storey building to provide ground shop unit and bar / restaurant and nine apartments,21-Feb-12,Planning Committee,5 East Street & 42 Parliament Street Ramsey Isle Of Man IM8 1DN 
Certificate of Lawfulness AGREED,11/01588/LAW,Application for a Certificate of Lawful Use to make lawful the existing use of the site as an agricultural machinery dealership,12-Jan-12,Head of Development Management,JDW Engineering  Site Adjacent To Close Veg Glen Darragh Road Glen Vine Isle Of Man  
Permitted,11/01591/B,"Removal of chimney and side porch, replace existing window with a door and widen existing driveway",05-Jan-12,Head of Development Management,Sundown 25 Mountain View Peel Isle Of Man IM5 1QF
Permitted,11/01592/D,Erection of an awning,05-Jan-12,Head of Development Management,40 Duke Street Douglas Isle Of Man IM1 2AX
Permitted,11/01593/B,Erection of conservatory to rear elevation,05-Jan-12,Head of Development Management,65 Ballanard Road Douglas Isle Of Man IM2 5HD
Certificate of Lawfulness DECLINED,11/01594/LAW,"Application for Certificate of Lawful Use; being the retail sale by Next Plc for the sale of furniture, household goods and decorating items plus childrenswear",12-Jan-12,Head of Development Management,Unit 1 Land At Spring Valley Industrial Estate Douglas Isle Of Man  
Permitted,11/01595/B,Creation of a campsite and alteration to entrance driveway,03-Apr-12,Planning Committee,"Field's 134295, 134296 & 134297 Ballakillingan Farm Churchtown Ramsey Isle Of Man  "
Permitted,11/01596/B,"Erection of a dwelling including garaging, ancillary accommodation and landscaping",23-Feb-12,Head of Development Management,Plot 17 Ballanard Woods Ballanard Road Douglas Isle Of Man  
Permitted,11/01598/B,Erection of two detached dwellings,21-Feb-12,Planning Committee,Land Between Glas Choille And Winston Glen Auldyn Ramsey Isle Of Man  
Permitted,11/01599/B,Alterations and extensions to dwelling,13-Jan-12,Director Delegation,28 Mill Street Castletown Isle Of Man IM9 1AG
Permitted,11/01600/B,Construction of a garden pavilion within sunken garden area,13-Jan-12,Director Delegation,Ballacomish House Ronague Road Ballabeg Castletown Isle Of Man IM9 4HF 
Application Withdrawn,11/01601/GB,Alterations and extension to dwelling and demolition and rebuilding of 46 Arbory Street to form residential accommodation (In association with 11/01602/CON),23-Feb-12,Withdrawn,Elderbank The Crofts Castletown Isle Of Man IM9 1LW
Application Withdrawn,11/01602/CON,Registered Building Consent for alterations and extension to dwelling and demolition and rebuilding of 46 Arbory Street to form residential accommodation (RB no 259 in association with 11/01601/GB),28-Feb-12,Withdrawn,Elderbank The Crofts Castletown Isle Of Man IM9 1LW
Permitted,11/01606/B,Conversion of outbuilding to provide additional ancillary accommodation,13-Jan-12,Head of Development Management,Springhaven Glen Wyllin Kirk Michael Isle Of Man IM6 1AW 
Refused,11/01607/GB,"Alterations, erection of extension and relocation and erection of replacement double garage and carport (In association with 11/01608/CON)",07-Mar-12,Planning Committee,Red House Victoria Road Douglas Isle Of Man IM2 6AQ
Refused,11/01608/CON,"Registered Building consent for alterations, erection of extension and relocation and erection of replacement double garage and carport (In association with 11/01607/GB) Registered Building Nos. 160",07-Mar-12,Planning Committee,Red House Victoria Road Douglas Isle Of Man IM2 6AQ
Permitted,11/01609/B,Installation of replacement windows,12-Jan-12,Director Delegation,Kerrowchord Main Road Greeba Isle Of Man IM4 3LD
Permitted,11/01610/B,Extension to rear elevation,13-Jan-12,Director Delegation,Maycroft 31 Droghadfayle Road Port Erin Isle Of Man IM9 6EL 
Permitted,11/01611/C,Additional use of church hall as a playgroup,13-Feb-12,Head of Development Management,Union Mills Methodist Chapel Strang Road Union Mills Isle Of Man IM4 4NL
Permitted,11/01612/C,Additional use of dwelling as tourist accommodation,13-Jan-12,Director Delegation,24 Milner Park Port Erin Isle Of Man IM9 6DH
Permitted,11/01613/B,Erection of a sun room extension to dwelling,05-Jan-12,Head of Development Management,Lowfield Cooil Ushtey Port Lewaigue Ramsey Isle Of Man IM7 1AQ
Permitted,11/01614/B,Erection of a detached garage and shed,03-Feb-12,Director Delegation,Land Opposite Hillcrest Corony Hill Corony Ramsey Isle Of Man IM7 1EZ
Permitted,11/01615/B,Installation of replacement windows and creation of a door and window from existing window and door,13-Jan-12,Director Delegation,Springhill Bradda Road Port Erin Isle Of Man IM9 6QA
Permitted,11/01616/B,Alterations and extension to dwelling,13-Jan-12,Head of Development Management,18 Bridge Street Peel Isle Of Man IM5 1NF
Permitted,11/01617/B,Alterations and extension to dwelling,05-Jan-12,Head of Development Management,39 Ballacriy Park Colby Isle Of Man IM9 4LU
Permitted,11/01618/B,Alterations to front first floor windows,05-Jan-12,Head of Development Management,Bay Crest 3 Primrose Terrace Port St. Mary Isle Of Man IM9 5AP
Permitted,11/01619/B,Creation of a doorway from an existing window to side elevation,13-Jan-12,Director Delegation,6 Fairways Court Rowany Drive Port Erin Isle Of Man IM9 6LP
Permitted,11/01620/B,Erection of two agricultural buildings,23-Feb-12,Head of Development Management,Southampton Farm Quines Hill Port Soderick Isle Of Man IM4 1BA 
Permitted,11/01621/B,"Erection of a two storey extension to nursing home, and creation of temporary compound for use during construction (Amendment to PA 10/01238/B)",05-Jan-12,Head of Development Management,Castle View Nursing Home  (And Part Of Adjoining Field) Ballatessan Meadow Glenfaba Road Peel  Isle Of Man 
Refused,11/01622/C,Change of use from storage warehouse to a martial arts club (Retrospective),08-Feb-12,Head of Development Management,Warehouse And Store Falcon Cliff Terrace Lane Douglas Isle Of Man IM2 4AX 
Permitted,11/01623/B,Erection of a Salt Storage Facility,15-Mar-12,Department Application,Land Adjacent To Balthane Road Balthane Industrial Estate Ballasalla Isle Of Man  
Permitted,11/01624/B,Installation of dormers and roof lights,05-Jan-12,Head of Development Management,Esperance  Bayrauyr Road St Marks Ballasalla Isle Of Man IM9 3AT
Permitted,11/01625/B,Installation of replacement windows,18-Jan-12,Director Delegation,Tower Buildings Strand Road Port Erin Isle Of Man IM9 6HE
Permitted,11/01626/B,Installation of solar panels,06-Jan-12,Senior Planning Officer - South (SC),Moaney Woods Farm Lonan Church Road Laxey Isle Of Man IM4 7JX
Permitted,11/01627/B,Erection of a conservatory and installation of replacement windows and doors to dwelling,23-Feb-12,Head of Development Management,41 Douglas Street Peel Isle Of Man IM5 1BB
Permitted,11/01628/B,Installation of replacement windows,06-Jan-12,Head of Development Management,The Apartment West End Buildings Parliament Street Ramsey Isle Of Man IM8 1AD 
Permitted,11/01629/B,Erection of a first floor extension to dwelling,10-Jan-12,Planning Committee,3 Ashfield Avenue Union Mills Isle Of Man IM4 4LN
